x, y
1.717381689,20.22207297
1.930697729,27.70144881
2.219458216,39.00932971
2.453751107,48.11565051
2.758531618,61.34670878
3.118507057,76.50764238
3.604962292,101.3898772
4.190598267,127.8509106
4.844288776,152.5578876
6.260516572,198.8524417
8.181499907,246.6304189
10.39798418,295.9206827
12.08716513,316.1909137
13.89495494,335.9894278
17.36638573,369.0531117
22.31866846,398.7113643
30.15913534,442.8101337
35.64988321,460.2591411
42.85102937,478.3957294
51.50678076,497.2469931
59.21027722,511.1652941
70.77484626,528.3824596
89.94875517,549.2034587
100,551
