year	day	hr	v
2021	267	0	4.2524e+02
2021	267	0	4.1317e+02
2021	267	0	3.9591e+02
2021	267	0	4.1128e+02
2021	267	0	4.1423e+02
2021	267	1	4.1662e+02
2021	267	1	4.2249e+02
2021	267	1	4.2369e+02
2021	267	1	4.2935e+02
2021	267	1	4.3595e+02
2021	267	2	4.4498e+02
2021	267	2	4.5801e+02
2021	267	2	4.2855e+02
2021	267	2	4.3134e+02
2021	267	2	4.3378e+02
2021	267	3	4.2889e+02
2021	267	3	4.3619e+02
2021	267	3	4.3238e+02
2021	267	3	4.2554e+02
2021	267	3	4.3831e+02
2021	267	4	4.4320e+02
2021	267	4	4.4099e+02
2021	267	4	4.5803e+02
2021	267	4	4.5285e+02
2021	267	4	4.6535e+02
2021	267	5	4.7238e+02
2021	267	5	4.7764e+02
2021	267	5	4.7253e+02
2021	267	5	4.7054e+02
2021	267	5	4.7002e+02
2021	267	6	4.7064e+02
2021	267	6	4.6528e+02
2021	267	6	4.6053e+02
2021	267	6	4.6106e+02
2021	267	6	4.6278e+02
2021	267	7	4.5588e+02
2021	267	7	4.5698e+02
2021	267	7	4.5372e+02
2021	267	7	4.5889e+02
2021	267	7	4.6169e+02
2021	267	8	4.6524e+02
2021	267	8	4.6942e+02
2021	267	8	4.7236e+02
2021	267	8	4.8664e+02
2021	267	8	4.8118e+02
2021	267	9	4.8342e+02
2021	267	9	4.7750e+02
2021	267	9	4.7850e+02
2021	267	9	4.8055e+02
2021	267	9	4.7932e+02
2021	267	10	4.8360e+02
2021	267	10	4.8492e+02
2021	267	10	4.8973e+02
2021	267	10	4.9145e+02
2021	267	10	4.8865e+02
2021	267	11	4.8674e+02
2021	267	11	4.8226e+02
2021	267	11	4.8715e+02
2021	267	11	4.9023e+02
2021	267	11	0
2021	267	12	4.6965e+02
2021	267	12	4.7257e+02
2021	267	12	4.7417e+02
2021	267	12	4.6913e+02
2021	267	12	4.7635e+02
2021	267	13	4.6982e+02
2021	267	13	4.6388e+02
2021	267	13	4.7353e+02
2021	267	13	4.7033e+02
2021	267	13	4.8528e+02
2021	267	14	4.8588e+02
2021	267	14	4.8615e+02
2021	267	14	4.8005e+02
2021	267	14	4.7624e+02
2021	267	15	4.7915e+02
2021	267	15	4.7465e+02
2021	267	15	4.7237e+02
2021	267	15	4.7727e+02
2021	267	15	4.7597e+02
2021	267	16	4.7449e+02
2021	267	16	4.7328e+02
2021	267	16	4.5651e+02
2021	267	16	4.6906e+02
2021	267	16	4.6016e+02
2021	267	17	4.6401e+02
2021	267	17	4.5724e+02
2021	267	17	4.5763e+02
2021	267	17	4.6034e+02
2021	267	17	4.7711e+02
2021	267	18	4.8498e+02
2021	267	18	4.7580e+02
2021	267	18	4.7486e+02
2021	267	18	4.7608e+02
2021	267	18	4.6117e+02
2021	267	19	4.6292e+02
2021	267	19	4.6118e+02
2021	267	19	4.6096e+02
2021	267	19	4.5713e+02
2021	267	19	4.5732e+02
2021	267	20	4.5302e+02
2021	267	20	4.5433e+02
2021	267	20	4.5265e+02
2021	267	20	4.5856e+02
2021	267	20	4.5924e+02
2021	267	21	4.5330e+02
2021	267	21	4.6801e+02
2021	267	21	4.7236e+02
2021	267	21	4.7832e+02
2021	267	21	4.8220e+02
2021	267	22	4.8308e+02
2021	267	22	4.7878e+02
2021	267	22	4.8094e+02
2021	267	22	4.7589e+02
2021	267	22	4.8418e+02
2021	267	23	4.8679e+02
2021	267	23	4.9520e+02
2021	267	23	4.8639e+02
2021	267	23	4.8548e+02
2021	267	23	4.8001e+02
2021	268	0	4.7233e+02
2021	268	0	4.8904e+02
2021	268	0	4.7831e+02
2021	268	0	4.7052e+02
2021	268	0	4.7865e+02
2021	268	1	4.7863e+02
2021	268	1	5.0144e+02
2021	268	1	4.9954e+02
2021	268	1	4.9528e+02
2021	268	1	5.0630e+02
2021	268	2	5.1003e+02
2021	268	2	5.2313e+02
2021	268	2	5.0236e+02
2021	268	2	5.0739e+02
2021	268	2	5.1635e+02
2021	268	3	5.3178e+02
2021	268	3	5.2472e+02
2021	268	3	5.4172e+02
2021	268	3	5.3156e+02
2021	268	3	5.4822e+02
2021	268	4	5.5880e+02
2021	268	4	5.3917e+02
2021	268	4	5.4497e+02
2021	268	4	5.4768e+02
2021	268	4	5.7393e+02
2021	268	5	5.5575e+02
2021	268	5	5.4710e+02
2021	268	5	5.5232e+02
2021	268	5	5.3064e+02
2021	268	6	5.3107e+02
2021	268	6	5.3641e+02
2021	268	6	5.3508e+02
2021	268	6	5.5268e+02
2021	268	6	5.3410e+02
2021	268	7	5.5590e+02
2021	268	7	5.4958e+02
2021	268	7	5.3678e+02
2021	268	7	5.5299e+02
2021	268	7	5.5049e+02
2021	268	8	5.4648e+02
2021	268	8	5.1676e+02
2021	268	8	5.3931e+02
2021	268	8	5.3244e+02
2021	268	8	5.4409e+02
2021	268	9	5.4029e+02
2021	268	9	5.5781e+02
2021	268	9	5.4515e+02
2021	268	9	5.3167e+02
2021	268	9	5.2513e+02
2021	268	10	5.4361e+02
2021	268	10	5.3308e+02
2021	268	10	5.2715e+02
2021	268	10	5.2427e+02
2021	268	10	5.1255e+02
2021	268	11	4.7830e+02
2021	268	11	5.0787e+02
2021	268	11	5.0749e+02
2021	268	11	5.3322e+02
2021	268	11	5.1699e+02
2021	268	12	5.0881e+02
2021	268	12	5.0570e+02
2021	268	12	5.0524e+02
2021	268	12	5.0602e+02
2021	268	12	5.3567e+02
2021	268	13	5.2250e+02
2021	268	13	5.0416e+02
2021	268	13	5.0791e+02
2021	268	13	5.0674e+02
2021	268	13	4.9515e+02
2021	268	14	4.8842e+02
2021	268	14	4.9108e+02
2021	268	14	4.9502e+02
2021	268	14	4.8715e+02
2021	268	14	4.9054e+02
2021	268	15	5.0019e+02
2021	268	15	4.9149e+02
2021	268	15	4.9511e+02
2021	268	15	4.9668e+02
2021	268	15	4.8667e+02
2021	268	16	4.9502e+02
2021	268	16	4.9083e+02
2021	268	16	4.8787e+02
2021	268	16	4.9778e+02
2021	268	16	4.8653e+02
2021	268	17	4.8417e+02
2021	268	17	4.8843e+02
2021	268	17	4.8673e+02
2021	268	17	4.7393e+02
2021	268	17	4.7768e+02
2021	268	18	4.8517e+02
2021	268	18	4.8500e+02
2021	268	18	4.8913e+02
2021	268	18	5.0809e+02
2021	268	18	5.0016e+02
2021	268	19	4.7808e+02
2021	268	19	5.0489e+02
2021	268	19	5.0962e+02
2021	268	19	4.8173e+02
2021	268	19	4.4400e+02
2021	268	20	4.5432e+02
2021	268	20	4.5920e+02
2021	268	20	4.5438e+02
2021	268	20	4.4959e+02
2021	268	20	4.5040e+02
2021	268	21	4.6288e+02
2021	268	21	4.5750e+02
2021	268	21	4.5521e+02
2021	268	21	4.5316e+02
2021	268	22	4.5350e+02
2021	268	22	4.4686e+02
2021	268	22	4.4986e+02
2021	268	22	4.5571e+02
2021	268	22	4.5467e+02
2021	268	23	4.5172e+02
2021	268	23	4.4859e+02
2021	268	23	4.4819e+02
2021	268	23	4.3924e+02
2021	268	23	4.5426e+02
2021	269	0	4.3707e+02
2021	269	0	4.5438e+02
2021	269	0	4.4423e+02
