year	day	hr	v
2021	267	0	4.1423e+02
2021	267	1	4.3595e+02
2021	267	2	4.3378e+02
2021	267	3	4.3831e+02
2021	267	4	4.6535e+02
2021	267	5	4.7002e+02
2021	267	6	4.6278e+02
2021	267	7	4.6169e+02
2021	267	8	4.8118e+02
2021	267	9	4.7932e+02
2021	267	10	4.8865e+02
2021	267	11	0
2021	267	12	4.7635e+02
2021	267	13	4.8528e+02
2021	267	15	4.7915e+02
2021	267	16	4.7449e+02
2021	267	17	4.6401e+02
2021	267	18	4.8498e+02
2021	267	19	4.6292e+02
2021	267	20	4.5302e+02
2021	267	21	4.5330e+02
2021	267	22	4.8308e+02
2021	267	23	4.8679e+02
2021	268	0	4.7233e+02
2021	268	1	4.7863e+02
2021	268	2	5.1003e+02
2021	268	3	5.3178e+02
2021	268	4	5.5880e+02
2021	268	5	5.5575e+02
2021	268	6	5.3641e+02
2021	268	7	5.4958e+02
2021	268	8	5.1676e+02
2021	268	9	5.5781e+02
2021	268	10	5.3308e+02
2021	268	11	5.0787e+02
2021	268	12	5.0570e+02
2021	268	13	5.0416e+02
2021	268	14	4.9108e+02
2021	268	15	4.9149e+02
2021	268	16	4.9083e+02
2021	268	17	4.8843e+02
2021	268	18	4.8500e+02
2021	268	19	5.0489e+02
2021	268	20	4.5920e+02
2021	268	21	4.5750e+02
2021	268	22	4.4986e+02
2021	268	23	4.4819e+02
2021	269	0	4.4423e+02
2021	269	1	4.4187e+02
2021	269	2	4.3667e+02
2021	269	3	4.2596e+02
2021	269	4	4.2237e+02
2021	269	5	4.2400e+02
2021	269	6	4.2173e+02
2021	269	7	4.1763e+02
2021	269	8	4.1854e+02
2021	269	9	4.1282e+02
2021	269	10	4.0880e+02
2021	269	11	4.1290e+02
2021	269	12	3.9926e+02
2021	269	13	3.9910e+02
2021	269	14	3.9517e+02
2021	269	15	3.8689e+02
2021	269	16	3.7866e+02
2021	269	17	3.7340e+02
2021	269	18	3.7814e+02
2021	269	19	3.8272e+02
2021	269	20	3.7732e+02
2021	269	21	3.7613e+02
2021	269	22	3.7490e+02
2021	269	23	3.8139e+02
2021	270	0	3.8671e+02
2021	270	1	3.8131e+02
2021	270	2	3.8220e+02
2021	270	3	3.8750e+02
2021	270	4	3.8729e+02
2021	270	5	3.9374e+02
2021	270	6	3.8378e+02
2021	270	7	3.7592e+02
2021	270	8	3.7736e+02
2021	270	9	3.7080e+02
2021	270	10	3.6667e+02
2021	270	11	3.6480e+02
2021	270	12	3.6421e+02
2021	270	13	3.6773e+02
2021	270	14	3.6435e+02
2021	270	15	3.7116e+02
2021	270	16	3.8812e+02
2021	270	17	3.7867e+02
2021	270	18	3.8376e+02
2021	270	20	3.8101e+02
2021	270	21	3.7325e+02
2021	270	22	4.1478e+02
2021	270	23	4.1663e+02
2021	271	0	4.5652e+02
2021	271	1	4.4654e+02
2021	271	2	4.5529e+02
2021	271	3	4.6519e+02
2021	271	4	4.5826e+02
2021	271	5	4.6704e+02
2021	271	6	4.7465e+02
2021	271	7	4.9500e+02
2021	271	8	4.9994e+02
2021	271	9	5.0245e+02
2021	271	10	4.9953e+02
2021	271	11	4.9316e+02
2021	271	12	5.2450e+02
2021	271	13	5.0499e+02
2021	271	14	4.7920e+02
2021	271	15	4.8317e+02
2021	271	16	5.0280e+02
2021	271	17	5.0481e+02
2021	271	18	5.0537e+02
2021	271	19	5.0099e+02
2021	271	20	5.0303e+02
2021	271	21	4.8262e+02
2021	271	22	4.7332e+02
2021	271	23	4.7112e+02
2021	272	0	4.6626e+02
2021	272	1	4.6573e+02
2021	272	2	4.6365e+02
2021	272	3	4.4866e+02
2021	272	4	4.4950e+02
2021	272	5	4.3789e+02
2021	272	6	4.4527e+02
2021	272	7	4.2720e+02
2021	272	8	4.3420e+02
2021	272	9	4.3158e+02
2021	272	10	4.2940e+02
2021	272	11	4.2758e+02
2021	272	12	4.0497e+02
2021	272	13	3.9652e+02
2021	272	14	3.9483e+02
2021	272	15	3.9651e+02
2021	272	16	4.0208e+02
2021	272	17	3.9332e+02
2021	272	18	3.9316e+02
2021	272	19	3.9289e+02
2021	272	20	3.8634e+02
2021	272	21	4.0006e+02
2021	272	22	3.8110e+02
2021	272	23	3.8192e+02
2021	273	0	3.7962e+02
2021	273	1	3.8303e+02
2021	273	2	3.8934e+02
2021	273	3	3.8701e+02
2021	273	4	3.8087e+02
2021	273	5	3.7916e+02
2021	273	6	3.8007e+02
2021	273	7	3.7757e+02
2021	273	8	3.7803e+02
2021	273	9	3.8402e+02
2021	273	10	3.8278e+02
2021	273	11	3.8203e+02
2021	273	12	3.7456e+02
2021	273	13	3.7409e+02
2021	273	14	3.8646e+02
2021	273	15	4.2018e+02
2021	273	16	4.1925e+02
2021	273	17	4.1331e+02
2021	273	18	4.2570e+02
2021	273	19	4.3877e+02
2021	273	20	4.4765e+02
2021	273	21	5.0729e+02
2021	273	22	5.0923e+02
2021	273	23	5.4905e+02
2021	274	0	5.4853e+02
2021	274	2	5.4106e+02
2021	274	3	5.0888e+02
2021	274	4	4.7038e+02
2021	274	5	4.8295e+02
2021	274	6	5.0836e+02
2021	274	7	5.2931e+02
2021	274	8	5.3208e+02
2021	274	9	5.6384e+02
2021	274	10	5.4242e+02
2021	274	11	5.2913e+02
2021	274	12	5.0793e+02
2021	274	13	4.9509e+02
2021	274	14	5.1486e+02
2021	274	15	5.0748e+02
2021	274	16	5.1841e+02
2021	274	17	5.2440e+02
2021	274	18	5.1336e+02
2021	274	19	4.6977e+02
2021	274	20	4.9187e+02
2021	274	21	4.9213e+02
2021	274	22	4.6266e+02
2021	274	23	4.5623e+02
2021	275	0	4.5472e+02
2021	275	1	4.4634e+02
2021	275	2	4.3874e+02
2021	275	3	4.4012e+02
2021	275	4	4.4017e+02
2021	275	5	4.2676e+02
2021	275	6	4.3486e+02
2021	275	7	4.2819e+02
2021	275	8	4.3814e+02
2021	275	9	4.3818e+02
2021	275	10	4.3380e+02
2021	275	11	4.2020e+02
2021	275	12	4.1093e+02
2021	275	13	4.1958e+02
2021	275	14	3.9269e+02
2021	275	15	4.2089e+02
2021	275	16	4.2299e+02
2021	275	17	4.0936e+02
2021	275	18	4.0874e+02
2021	275	19	4.0412e+02
2021	275	20	4.0052e+02
2021	275	21	4.0008e+02
2021	275	22	4.0465e+02
2021	275	23	4.0814e+02
2021	276	0	4.0796e+02
2021	276	1	3.9942e+02
2021	276	2	4.0139e+02
2021	276	3	4.1150e+02
2021	276	4	3.9931e+02
2021	276	5	3.9115e+02
2021	276	6	3.9960e+02
2021	276	7	3.9078e+02
2021	276	8	3.9620e+02
2021	276	9	3.8414e+02
2021	276	10	3.8844e+02
2021	276	11	3.8255e+02
2021	276	12	3.8012e+02
2021	276	13	3.8256e+02
2021	276	14	3.7398e+02
2021	276	15	3.7574e+02
2021	276	16	3.7774e+02
2021	276	17	3.9362e+02
2021	276	18	3.8525e+02
2021	276	19	3.7453e+02
2021	276	20	3.7506e+02
2021	276	21	3.6874e+02
2021	276	22	3.5564e+02
2021	276	23	3.6932e+02
2021	277	0	3.6464e+02
2021	277	1	3.5903e+02
2021	277	2	3.5226e+02
2021	277	3	3.5951e+02
2021	277	4	3.6379e+02
2021	277	5	3.5436e+02
2021	277	6	3.5452e+02
2021	277	8	3.4787e+02
2021	277	9	3.3904e+02
2021	277	10	3.4661e+02
2021	277	11	3.4696e+02
2021	277	12	3.4518e+02
2021	277	13	3.4089e+02
2021	277	14	3.3437e+02
2021	277	15	3.3107e+02
2021	277	16	3.2833e+02
2021	277	17	3.3170e+02
2021	277	18	3.2613e+02
