i timesec 	power_total 	dopp_firstmoment 	second_moment 		exp_dopp
1	10230.0	0.07776083631869593	0.8355130058992497	0.7479255075621709	-6114542001.164487
1	10230.25	0.0739829794766557	0.7977830257948034	0.7109462855930148	-6114542001.202217
1	10230.5	0.06254749548614656	0.8883505056568345	1.4225303007225474	-6114542001.1116495
1	10230.75	0.06871416161788567	0.7893087953233238	0.7040398811862238	-6114542001.210691
2	10231.0	0.07214236770219962	0.8520263773055495	0.7631184038889236	-6114542001.147974
2	10231.25	0.0732201787762037	0.8095516258951884	0.7158101647078075	-6114542001.190449
2	10231.5	0.06719326135939348	0.797705812981072	0.7062041891468305	-6114542001.202294
2	10231.75	0.07690071738850048	0.8244893723080897	0.7352620743532191	-6114542001.17551
3	10232.0	0.07194896022606406	0.8209125800602117	0.7342468673323402	-6114542001.179088
3	10232.25	0.07549519953126278	0.8290250447960947	0.7392822399372183	-6114542001.170975
3	10232.5	0.07256155863364493	0.8225573238956873	0.7314410301706565	-6114542001.177443
3	10232.75	0.07439317165548626	0.7813699426814619	0.6899091659989447	-6114542001.21863
4	10233.0	0.06631217547824395	0.796267731763814	0.7090034316286115	-6114542001.2037325
4	10233.25	0.07702414663713412	0.8037326097861259	0.7173104243745221	-6114542001.196268
4	10233.5	0.07380348381976168	0.8168745761038175	0.729680120492809	-6114542001.1831255
4	10233.75	0.07385795610919174	0.8464396973466175	0.7558048889970947	-6114542001.153561
5	10234.0	0.0743664131663391	0.8274232580436557	0.7398821695335464	-6114542001.172577
5	10234.25	0.0719041902815561	0.8146912865729631	0.7262534577969698	-6114542001.185308
5	10234.5	0.07299460724094296	0.7903429659304309	0.701719081569243	-6114542001.209658
5	10234.75	0.07278741080681313	0.8246058086517807	0.7368923581187758	-6114542001.175394
6	10235.0	0.06972782892867554	0.7694309566930634	0.6869636122988183	-6114542001.230569
6	10235.25	0.07472900282286656	0.8370671746083799	0.7477036754780946	-6114542001.162933
6	10235.5	0.06874214434917891	0.7802643125543443	0.702510256412772	-6114542001.219736
6	10235.75	0.07434119531437905	0.8019626486617145	0.711435730508094	-6114542001.198037
7	10236.0	0.077941770409201	0.8097281369434707	0.7162789095028369	-6114542001.190271
7	10236.25	0.07819128378185446	0.8190394290758398	0.731039208585383	-6114542001.180961
7	10236.5	0.07339854675758967	0.8072436825213815	0.7187021209330464	-6114542001.192757
7	10236.75	0.07305451623605551	0.79251960416236	0.7054365094467433	-6114542001.20748
8	10237.0	0.07440297568645407	0.8127013140406807	0.7241557623196289	-6114542001.187299
8	10237.25	0.07811410438430486	0.8277442757746291	0.7321900334833444	-6114542001.1722555
8	10237.5	0.0734635852424712	0.8190262508960289	0.7309271199349986	-6114542001.180973
8	10237.75	0.07376644657557045	0.7951451742754557	0.7080426767332804	-6114542001.204855
9	10238.0	0.0760205310245922	0.8232276214930749	0.736095155486345	-6114542001.176773
9	10238.25	0.07421849029554958	0.8195983245800906	0.7350215668665628	-6114542001.180402
9	10238.5	0.07189360864983212	0.7911929898129444	0.7051540030854814	-6114542001.208807
9	10238.75	0.07680113304483312	0.8168764665782003	0.7266534389856774	-6114542001.183124
10	10239.0	0.07310046047574248	0.7988851144583629	0.7100089248619437	-6114542001.201115
10	10239.25	0.07393040207094789	0.8166577669864672	0.7212358276412758	-6114542001.183342
10	10239.5	0.07346126796261326	0.7971753093316034	0.7096219176937281	-6114542001.202825
10	10239.75	0.07541903431784526	0.8416166149908889	0.7498758015561209	-6114542001.158383
11	10240.0	0.07345697352813992	0.8253203900463453	0.734155551265353	-6114542001.17468
11	10240.25	0.07497473712755545	0.8056029612138125	0.7149741214988486	-6114542001.194397
11	10240.5	0.08162207339230937	0.9510658038761135	1.9078462285008537	-6114542001.048934
11	10240.75	0.10288536253306785	0.8054836709752965	0.7194570345694207	-6114542001.194516
12	10241.0	0.11155283358193753	0.8241925709404903	0.7351678423613369	-6114542001.175808
12	10241.25	0.11429232270249719	0.8329136404873457	0.7487130376155295	-6114542001.167086
12	10241.5	0.10804977691086885	0.8021202017278504	0.7110429928798646	-6114542001.19788
12	10241.75	0.10526020738893997	0.8132274482230072	0.7250296753848987	-6114542001.186772
13	10242.0	0.10464800688848704	0.778700136289718	0.6918150575031783	-6114542001.2213
13	10242.25	0.11101951622640503	0.8143275959536623	0.7251389733772183	-6114542001.185673
13	10242.5	0.1092111349508408	0.8266359369969409	0.7406816930444226	-6114542001.173365
13	10242.75	0.11423879918239051	0.8213186802479027	0.7341063209831902	-6114542001.178681
14	10243.0	0.1140289188386017	0.8200026370867143	0.734265109092029	-6114542001.179997
14	10243.25	0.11637185486639534	0.8360334462267974	0.7516751674140194	-6114542001.163967
14	10243.5	0.10532741690809366	0.8093446990875425	0.7231222461311866	-6114542001.190655
14	10243.75	0.10575416469318163	0.8092964632305779	0.7222641391935135	-6114542001.190703
15	10244.0	0.10609755313443643	0.8015377998430938	0.7123061942171476	-6114542001.198462
15	10244.25	0.10803011207178459	0.8204927682250464	0.7303730550668269	-6114542001.179507
15	10244.5	0.11143064345214286	0.8278094807984688	0.7367977871469754	-6114542001.172191
15	10244.75	0.10894966272927759	0.8227137958592926	0.7347795777945134	-6114542001.177286
16	10245.0	0.11298633052511951	0.8412747554796145	0.7493571296483571	-6114542001.158726
16	10245.25	0.10834176920839127	0.8297801140549441	0.7434461455572958	-6114542001.170219
16	10245.5	0.1049553310945602	0.7606564841606532	0.6682367962731699	-6114542001.239344
16	10245.75	0.13423129801864783	0.8100958436695045	0.7216093748684906	-6114542001.189904
17	10246.0	0.13245388221409282	0.8014604619720446	0.7126250242550463	-6114542001.19854
17	10246.25	0.12425003501934598	0.8260469733612498	0.7376578115360245	-6114542001.173953
17	10246.5	0.12454612670686324	0.806341850825827	0.7174374392973221	-6114542001.193659
17	10246.75	0.1262341150043136	0.825372041843094	0.7392755104597919	-6114542001.174627
18	10247.0	0.13141929064771912	0.8194307019068561	0.7320129422650878	-6114542001.180569
18	10247.25	0.12477203108758562	0.8088866701975981	0.7243021466337137	-6114542001.191113
18	10247.5	0.129869641263996	0.8291597250695353	0.7387168446304648	-6114542001.17084
18	10247.75	0.13307507278951794	1.0310484228174839	1.822010408493187	-6114542000.968952
19	10248.0	0.1273900162962615	0.809438152858054	0.7198133656091235	-6114542001.190561
19	10248.25	0.12693536057767332	0.8175381510807013	0.7305632815331836	-6114542001.182462
19	10248.5	0.12596507712359653	0.8068445573560775	0.7197175111248085	-6114542001.193155
19	10248.75	0.13027571068446267	0.820461086131845	0.731430090436513	-6114542001.179539
20	10249.0	0.12965003109421933	0.8190830103021149	0.7355447647260032	-6114542001.180917
20	10249.25	0.12490358415556108	0.8131744046156797	0.7248590470256409	-6114542001.186826
20	10249.5	0.13157747140183462	0.7997582665872158	0.7092181305247789	-6114542001.200241
20	10249.75	0.12288260376268466	0.8078091098036604	0.7206320808676313	-6114542001.192191
21	10250.0	0.13166696774386635	0.8283883917353642	0.7379482500419636	-6114542001.171612
21	10250.25	0.13407520286767521	0.8248332318638514	0.7342238814088495	-6114542001.175167
21	10250.5	0.12971401597768362	0.8322344620235268	0.7423710752990555	-6114542001.167766
21	10250.75	0.10119322108670314	0.8220557602235461	0.7323135765859631	-6114542001.177944
22	10251.0	0.1022285732484804	0.7923548797569239	0.7064223970916457	-6114542001.207645
22	10251.25	0.10016474724500764	0.8134198539091667	0.7215945456003668	-6114542001.186581
22	10251.5	0.10160260813612089	0.8113486798873796	0.7244455810301055	-6114542001.188651
22	10251.75	0.10148334784882844	0.817430664700935	0.7337858623032132	-6114542001.1825695
23	10252.0	0.10177017311104591	0.8200080569578543	0.7321218034856096	-6114542001.179992
23	10252.25	0.10560046845287392	0.8059249644608507	0.7184301602905778	-6114542001.194075
23	10252.5	0.11060278429636183	0.8365370923079833	0.7514122464310947	-6114542001.163464
23	10252.75	0.10095738271278695	0.8095808000345392	0.7209346221564417	-6114542001.190419
24	10253.0	0.10508357957165178	0.8039560911982999	0.7193616390863089	-6114542001.196044
24	10253.25	0.09766681756834955	0.8051400009919287	0.718162173812187	-6114542001.19486
24	10253.5	0.11052511065580808	0.831807434541256	0.7429362172524956	-6114542001.168192
24	10253.75	0.10929540182008032	0.8155182374341439	0.7269696032849156	-6114542001.184482
25	10254.0	0.10643426666035866	0.8255538653211552	0.7357524813234697	-6114542001.174446
25	10254.25	0.11027014900928231	0.8239182147650597	0.73766604345766	-6114542001.176082
25	10254.5	0.0926138129178812	0.7987223422064463	0.7163695635184424	-6114542001.201278
25	10254.75	0.10442953189107243	0.8131087095036766	0.7250989313746269	-6114542001.186892
26	10255.0	0.11047573526176468	0.8209887330171733	0.7339859182615539	-6114542001.179011
26	10255.25	0.10490016882543533	0.8259070734778338	0.7387399572473908	-6114542001.174093
26	10255.5	0.10161264473338942	0.8329855028549913	0.7446283532434353	-6114542001.167015
26	10255.75	0.11179856844813489	0.8571163305186511	0.7655995267641629	-6114542001.142883
27	10256.0	0.10645345027340693	0.8179682895421625	0.7322390853072941	-6114542001.182032
27	10256.25	0.10789328388295097	0.8584069983240451	0.768838614071999	-6114542001.141593
27	10256.5	0.10334892388207828	0.810152174355995	0.726417931304509	-6114542001.189848
27	10256.75	0.10194991577456555	0.8230318554028324	0.7331249944983842	-6114542001.176968
28	10257.0	0.10435982427503987	0.8022451816391143	0.7188619203104926	-6114542001.197755
28	10257.25	0.10312508591853246	0.8250797061877283	0.7385016768537966	-6114542001.17492
28	10257.5	0.1063228874717869	0.8259337660679631	0.7365524201996326	-6114542001.174067
28	10257.75	0.10441433801665223	0.8031988031881777	0.7120443655577406	-6114542001.196801
29	10258.0	0.10261902232306601	0.8318548313041135	0.7475610045474061	-6114542001.168145
29	10258.25	0.10300912407704912	0.8100969257302263	0.7234901084213621	-6114542001.189903
29	10258.5	0.10382275322223171	0.8101361229329135	0.7226600810874854	-6114542001.189863
29	10258.75	0.10200732462669987	0.8052513019257648	0.7172041003442127	-6114542001.194749
30	10259.0	0.10343942534078819	0.8222988043399173	0.7353793694140577	-6114542001.177701
30	10259.25	0.10133321264632195	0.8146362603745424	0.7268170066882105	-6114542001.185364
30	10259.5	0.10462880109566908	0.8130157284767142	0.7302083729933684	-6114542001.186984
30	10259.75	0.10409400584901267	0.8242154812312912	0.7338459882377533	-6114542001.175785
31	10260.0	0.10998206993905174	0.8389064775531275	0.750987481617464	-6114542001.161094
31	10260.25	0.10542110433427572	0.8368367201827861	0.7471749933345003	-6114542001.163163
31	10260.5	0.10179019183219973	0.8113538302356882	0.7206018575692724	-6114542001.188646
31	10260.75	0.10762375880272536	1.029671568159795	1.4099169438382395	-6114542000.970328
32	10261.0	0.0891204846975622	0.8307780212219742	0.7408073533546458	-6114542001.169222
32	10261.25	0.0870256770097488	0.8476277127662112	0.7597250403783409	-6114542001.152372
32	10261.5	0.07757640978298999	0.7815622388712014	0.6937221164807329	-6114542001.218437
32	10261.75	0.08189656544361104	0.8029246983831381	0.7125876269166652	-6114542001.197075
33	10262.0	0.08247928224119092	0.8130859984885803	0.7216333736537203	-6114542001.186914
33	10262.25	0.0877038285693574	0.8308059645512884	0.7418377820299088	-6114542001.169194
33	10262.5	0.08161395829147898	0.7820898300979645	0.6945148773702878	-6114542001.217911
33	10262.75	0.0862441420504795	0.8252465083300395	0.7345902284828489	-6114542001.174753
34	10263.0	0.08544868923509247	0.8207453682653783	0.7349954929092964	-6114542001.179255
34	10263.25	0.08651853598270089	0.8462503266465917	0.7522239712401015	-6114542001.153749
34	10263.5	0.08771315627236054	0.8112940909585759	0.7204321319231001	-6114542001.188705
34	10263.75	0.08024652571758929	0.7861267673291258	0.6973090980584571	-6114542001.213873
35	10264.0	0.08666422949887818	0.8066064547077596	0.7172150118713322	-6114542001.193394
35	10264.25	0.08445081151611462	0.7949817034163794	0.7098980392101593	-6114542001.205019
35	10264.5	0.08076135189221287	0.8337100192210096	0.7420818540631359	-6114542001.16629
35	10264.75	0.0899531963561006	0.8012700076202922	0.7120789491740639	-6114542001.19873
36	10265.0	0.08465986507284888	0.8001435710249474	0.710522281991111	-6114542001.199856
36	10265.25	0.0876024025325462	0.825300668171227	0.7381583794838	-6114542001.1747
36	10265.5	0.08652487404287354	0.840712839964644	0.7533718281051759	-6114542001.1592865
36	10265.75	0.08637581097718318	0.8204596517202165	0.7326510390572611	-6114542001.179541
37	10266.0	0.09312867100374089	0.8155644529895394	0.7303182333713949	-6114542001.184435
37	10266.25	0.08815588118249837	0.8204382399154455	0.730212864031887	-6114542001.179562
37	10266.5	0.08485956017740279	0.8267804203118482	0.7431831074787488	-6114542001.17322
37	10266.75	0.08805020419407955	0.8233045878277079	0.7363950414429864	-6114542001.176695
38	10267.0	0.08750193269033718	0.8517945016175672	0.7614719549605667	-6114542001.148205
38	10267.25	0.08581835924981943	0.788907140753904	0.7019164485920241	-6114542001.211093
38	10267.5	0.08399301281979006	0.8093362589496828	0.7214101904863188	-6114542001.190664
38	10267.75	0.08512610307306545	0.8005902837306387	0.7091782124592945	-6114542001.1994095
39	10268.0	0.08151941485055869	0.814478627076656	0.7265366645122372	-6114542001.185522
39	10268.25	0.08246373030473073	0.8039418793197461	0.7113293298381317	-6114542001.196058
39	10268.5	0.08314462869016359	0.8024428292377515	0.7149241300013306	-6114542001.197557
39	10268.75	0.07977302369356315	0.8063785227500967	0.7170931085749211	-6114542001.193622
40	10269.0	0.08657575909553832	0.8353309047877797	0.7420912947658099	-6114542001.164669
40	10269.25	0.0866481244590024	0.8223622770607777	0.7373898905857221	-6114542001.177637
40	10269.5	0.08371052148945532	0.8133588420499145	0.7226743438792651	-6114542001.186642
40	10269.75	0.08722224016470828	0.8177573615173465	0.7288744294784134	-6114542001.182243
41	10270.0	0.08358307290320605	0.8143417676000924	0.7218423083356723	-6114542001.185658
41	10270.25	0.0843244940997727	0.8263348441276758	0.7378347656081946	-6114542001.173665
41	10270.5	0.08121509695951822	0.8196794786118163	0.7288335257547277	-6114542001.180321
41	10270.75	0.08533586049505447	0.8769315031766204	0.7802990667532032	-6114542001.123068
42	10271.0	0.07661348972581523	0.8601564873523089	0.7685233235372114	-6114542001.139843
42	10271.25	0.06841113203860434	0.7825279248702581	0.6964361207665388	-6114542001.217472
42	10271.5	0.0717187858844326	0.8224102152228852	0.7294749335941725	-6114542001.177589
42	10271.75	0.07356065837993113	0.8303283236058985	0.7419380820157477	-6114542001.169672
43	10272.0	0.08012365359201555	0.8533539121967954	0.7626313683793559	-6114542001.1466465
43	10272.25	0.07073587717324194	0.8199757363748534	0.7376143811611969	-6114542001.180024
43	10272.5	0.06659365182930925	0.7800220014492532	0.6860759158739187	-6114542001.219978
43	10272.75	0.0742440627064307	0.8382976787082388	0.7519753981604826	-6114542001.161702
44	10273.0	0.07224543426408339	0.8506459179622394	0.7527018084788382	-6114542001.149354
44	10273.25	0.07116217990143112	0.8116955263871564	0.7249865420428313	-6114542001.188305
44	10273.5	0.07476601487421666	0.808643973455618	0.7228677685998469	-6114542001.191357
44	10273.75	0.07534385586052868	0.807730045230466	0.718949732151911	-6114542001.19227
45	10274.0	0.07298841460190787	0.8089878358009747	0.727390704900397	-6114542001.191012
45	10274.25	0.07093355718635137	0.7993949789482835	0.711065288357664	-6114542001.200605
45	10274.5	0.0713749313553589	0.8377900771450084	0.7486842381921331	-6114542001.16221
45	10274.75	0.0726000032034229	0.8231774370091327	0.7373621175660758	-6114542001.176823
46	10275.0	0.07432351006552694	0.8411871043808935	0.7497579553625888	-6114542001.158813
46	10275.25	0.07388461966367224	0.8012467192575985	0.7139251984993105	-6114542001.198753
46	10275.5	0.07076870831745842	0.8208355120017192	0.7321341537902089	-6114542001.179165
46	10275.75	0.07642633663771163	0.8223862246907627	0.7352470189358739	-6114542001.177614
47	10276.0	0.08511519228346333	0.7807415697110411	0.7028469615422359	-6114542001.219258
47	10276.25	0.08488052078475859	0.7887735014380676	0.6985708846672863	-6114542001.211226
47	10276.5	0.08980986575684344	0.8106607372723951	0.7184261771473885	-6114542001.189339
47	10276.75	0.08518417453054661	0.8275960651250115	0.7441026676510271	-6114542001.172403
48	10277.0	0.08772333153099453	0.8456492887164584	0.755299091502479	-6114542001.15435
48	10277.25	0.08742632372429572	0.8043643278718554	0.7165672546846227	-6114542001.195636
48	10277.5	0.07990709139141189	0.8307039535372465	0.7424731556670984	-6114542001.169296
48	10277.75	0.09110635956397056	0.8416308010561299	0.7442246121262911	-6114542001.158369
49	10278.0	0.0855064634019611	0.8232249350556152	0.7386879110664418	-6114542001.176775
49	10278.25	0.08487805315111784	0.8115180280887095	0.7175048466361352	-6114542001.188482
49	10278.5	0.08579185953832257	0.8260160288570032	0.7377155772871807	-6114542001.173985
49	10278.75	0.08295787904547013	0.8106062791544344	0.7252252679184191	-6114542001.189394
50	10279.0	0.08301016011599675	0.8011095712966203	0.7131884186676504	-6114542001.198891
50	10279.25	0.08562282095427412	0.8064388990829392	0.7197877967006928	-6114542001.193562
50	10279.5	0.08201954329594155	0.8000350676999402	0.7100730385180664	-6114542001.199965
50	10279.75	0.08495616229577814	0.8248793472929609	0.7416511879914532	-6114542001.175121
51	10280.0	0.07911855566604754	0.8001031630912391	0.7134878807360674	-6114542001.199897
51	10280.25	0.08540612466836645	0.8159013981675873	0.7247143542544491	-6114542001.184099
51	10280.5	0.08620394755608482	0.8267057473750221	0.7338970242942746	-6114542001.173294
51	10280.75	0.08756907617517676	0.8261498777318268	0.7353825939100137	-6114542001.17385
52	10281.0	0.08736796967435857	1.1551503859668366	2.166435629234482	-6114542000.84485
52	10281.25	0.07312043858691634	0.8172371983372168	0.7322149238149724	-6114542001.182762
52	10281.5	0.07795650452587911	0.83513808521027	0.7456505766247272	-6114542001.164862
52	10281.75	0.07691048526163285	0.8107734390020882	0.7231593890897726	-6114542001.189226
53	10282.0	0.07525922266838085	0.8178177653523324	0.7224791045607704	-6114542001.182182
53	10282.25	0.07650376715161532	0.807075273764317	0.7194220394351317	-6114542001.1929245
53	10282.5	0.07501672369137316	0.816577241105519	0.7273140470917383	-6114542001.183422
53	10282.75	0.07607544783735251	0.819026291425126	0.7330480247064148	-6114542001.180973
54	10283.0	0.07175783760400917	0.7910890047589312	0.7017073222740571	-6114542001.208911
54	10283.25	0.07543064340703395	0.8161785910988534	0.7273249239504934	-6114542001.183821
54	10283.5	0.07054987719936356	0.7970690521545725	0.7093187158174148	-6114542001.20293
54	10283.75	0.07803803163107925	0.8338710780050569	0.7436523758806213	-6114542001.166129
55	10284.0	0.07286826750571604	0.8278826302964958	0.7372734249783593	-6114542001.172117
55	10284.25	0.07446201616213012	0.8077533393305353	0.715691246332413	-6114542001.192246
55	10284.5	0.07224365635094346	0.8141927968625016	0.7275386324953514	-6114542001.185807
55	10284.75	0.07183665972748789	0.8191368757242027	0.7373792098711361	-6114542001.180862
56	10285.0	0.07266892155882389	0.8038014391880812	0.7134498000347025	-6114542001.196198
56	10285.25	0.07478013578258105	0.8176291355076177	0.7305980532718016	-6114542001.182371
56	10285.5	0.07797684189980415	0.8280915492343143	0.7410685193373233	-6114542001.171908
56	10285.75	0.07083865665947439	0.8058405002089304	0.7178455088039626	-6114542001.1941595
57	10286.0	0.07109665198518836	0.752448882363991	0.6763776417050702	-6114542001.247551
57	10286.25	0.08183030908618369	0.8100301430785836	0.7215840109833948	-6114542001.18997
57	10286.5	0.08462663573947932	0.8327024469723487	0.7405291170972884	-6114542001.167297
57	10286.75	0.08383779626571729	0.8115085338239807	0.7248560681207564	-6114542001.188492
58	10287.0	0.08346521038185946	0.7897796939755581	0.7016896256121448	-6114542001.21022
58	10287.25	0.0840943525499711	0.8375900749851716	0.7472187450406117	-6114542001.16241
58	10287.5	0.08296347025325439	0.8215543520516121	0.7288288907077038	-6114542001.178446
58	10287.75	0.07982533039334241	0.7884382813407816	0.6982195491129114	-6114542001.211561
59	10288.0	0.08788544135463126	0.823942911723476	0.7313932713743185	-6114542001.176057
59	10288.25	0.08397464822968118	0.8263499774475458	0.7414558458546238	-6114542001.17365
59	10288.5	0.08357123322158533	0.8049870241678284	0.72012459157009	-6114542001.195013
59	10288.75	0.08471468431158033	0.8035243190077113	0.7164706402892737	-6114542001.196476
60	10289.0	0.08516965066903957	0.8122509089101457	0.7228257246951325	-6114542001.187749
60	10289.25	0.08408644116818415	0.8029353668189287	0.7172591236864053	-6114542001.197064
60	10289.5	0.08397749823765915	0.8063879555402914	0.7127987958432411	-6114542001.193612
60	10289.75	0.08521989381009283	0.8091171698055626	0.7210227616801757	-6114542001.190883
61	10290.0	0.08123310801276	0.8117846016368315	0.7281209475463895	-6114542001.188215
61	10290.25	0.07924739300255727	0.7980081330742219	0.7130521184605324	-6114542001.201992
61	10290.5	0.08610111820410132	0.809544138073322	0.7224216416131582	-6114542001.190456
61	10290.75	0.0834247988735457	0.807583416356697	0.7240949439601967	-6114542001.192417
62	10291.0	0.08472891238563385	0.8879724704150884	0.7909932701694724	-6114542001.112028
62	10291.25	0.0693708872270018	0.7823737413931497	0.6976447411397859	-6114542001.217627
62	10291.5	0.06895834142584455	0.8278532125701937	0.7400081604845529	-6114542001.172147
62	10291.75	0.0754187296234998	0.843873277997375	0.7585176264538693	-6114542001.156126
