YYYY DOY HR MN V
2021 286 0 0 455.0
2021 286 0 5 455.1
2021 286 0 10 454.3
2021 286 0 15 453.2
2021 286 0 20 453.4
2021 286 0 25 454.4
2021 286 0 30 457.0
2021 286 0 35 456.3
2021 286 0 40 455.8
2021 286 0 45 457.1
2021 286 0 50 458.0
2021 286 0 55 457.8
2021 286 1 0 456.8
2021 286 1 5 457.0
2021 286 1 10 456.2
2021 286 1 15 453.1
2021 286 1 20 454.1
2021 286 1 25 453.5
2021 286 1 30 453.7
2021 286 1 35 452.6
2021 286 1 40 452.5
2021 286 1 45 452.6
2021 286 1 50 453.8
2021 286 1 55 454.7
2021 286 2 0 452.3
2021 286 2 5 451.4
2021 286 2 10 451.9
2021 286 2 15 451.0
2021 286 2 20 451.2
2021 286 2 25 449.5
2021 286 2 30 450.4
2021 286 2 35 452.6
2021 286 2 40 453.1
2021 286 2 45 452.2
2021 286 2 50 452.1
2021 286 2 55 457.0
2021 286 3 0 459.5
2021 286 3 5 454.2
2021 286 3 10 452.9
2021 286 3 15 448.9
2021 286 3 20 453.9
2021 286 3 25 455.8
2021 286 3 30 458.1
2021 286 3 35 454.0
2021 286 3 40 455.5
2021 286 3 45 454.0
2021 286 3 50 453.5
2021 286 3 55 454.5
2021 286 4 0 452.7
2021 286 4 5 451.5
2021 286 4 10 452.7
2021 286 4 15 450.2
2021 286 4 20 450.7
2021 286 4 25 450.9
2021 286 4 30 449.4
2021 286 4 35 449.6
2021 286 4 40 448.2
2021 286 4 45 444.4
2021 286 4 50 446.6
2021 286 4 55 447.8
2021 286 5 0 448.7
2021 286 5 5 445.9
2021 286 5 10 446.3
2021 286 5 15 446.4
2021 286 5 20 444.8
2021 286 5 25 441.0
2021 286 5 30 443.8
2021 286 5 35 444.6
2021 286 5 40 445.5
2021 286 5 45 446.1
2021 286 5 50 447.9
2021 286 5 55 446.4
2021 286 6 0 441.9
2021 286 6 5 444.8
2021 286 6 10 443.9
2021 286 6 15 445.4
2021 286 6 20 442.8
2021 286 6 25 443.1
2021 286 6 30 442.8
2021 286 6 35 443.4
2021 286 6 40 445.1
2021 286 6 45 442.3
2021 286 6 50 446.5
2021 286 6 55 442.4
2021 286 7 0 441.1
2021 286 7 5 440.6
2021 286 7 10 442.0
2021 286 7 15 440.9
2021 286 7 20 439.0
2021 286 7 25 439.3
2021 286 7 30 432.3
2021 286 7 35 434.4
2021 286 7 40 435.7
2021 286 7 45 441.2
2021 286 7 50 441.0
2021 286 7 55 440.9
2021 286 8 0 437.6
2021 286 8 5 437.1
2021 286 8 10 435.6
2021 286 8 15 436.5
2021 286 8 20 439.2
2021 286 8 25 440.2
2021 286 8 30 440.5
2021 286 8 35 439.6
2021 286 8 40 438.9
2021 286 8 45 437.1
2021 286 8 50 434.5
2021 286 8 55 433.2
2021 286 9 0 432.9
2021 286 9 5 432.2
2021 286 9 10 432.6
2021 286 9 15 432.3
2021 286 9 20 432.6
2021 286 9 25 432.2
2021 286 9 30 431.7
2021 286 9 35 431.4
2021 286 9 40 431.4
2021 286 9 45 431.1
2021 286 9 50 431.1
2021 286 9 55 429.9
