YEAR	DOY	1
1987	18	7
1987	45	12
1987	72	22
1987	99	47
1987	126	39
1987	153	19
1987	180	28
1987	207	60
1987	234	44
1987	261	43
1987	288	65
1987	315	40
1987	342	32
1988	4	74
1988	31	46
1988	58	78
1988	85	132
1988	112	74
1988	139	101
1988	166	119
1988	193	139
1988	220	135
1988	247	142
1988	274	157
1988	301	167
1988	328	186
1988	355	238
1989	16	196
1989	43	192
1989	70	175
1989	97	165
1989	124	204
1989	151	283
1989	178	196
1989	205	245
1989	232	234
1989	259	190
1989	286	225
1989	313	226
1989	340	206
1990	2	225
1990	29	163
1990	56	198
1990	83	192
1990	110	174
1990	137	173
1990	164	196
1990	191	167
1990	218	261
1990	245	170
1990	272	210
1990	299	172
1990	326	205
1990	353	159
1991	15	222
1991	42	217
1991	69	211
1991	96	197
1991	123	168
1991	150	224
1991	177	228
1991	204	217
1991	231	244
1991	258	171
1991	285	201
1991	312	147
1991	339	220
1992	1	187
1992	28	228
1992	55	177
1992	82	123
1992	109	147
1992	136	88
1992	163	99
1992	190	119
1992	217	90
1992	244	90
1992	271	119
1992	298	135
1992	325	130
1992	352	114
1993	13	86
1993	40	129
1993	67	95
1993	94	93
1993	121	73
1993	148	71
1993	175	83
1993	202	72
1993	229	43
1993	256	58
1993	283	53
1993	310	55
1993	337	63
1993	364	91
1994	26	58
1994	53	55
1994	80	22
1994	107	38
1994	134	25
1994	161	49
1994	188	48
1994	215	35
1994	242	42
1994	269	60
1994	296	47
1994	323	28
1994	350	24
1995	12	45
1995	39	52
1995	66	37
1995	93	22
1995	120	20
1995	147	21
1995	174	25
1995	201	12
1995	228	16
1995	255	15
1995	282	35
1995	309	16
1995	336	15
1995	363	13
1996	25	6
1996	52	12
1996	79	10
1996	106	9
1996	133	9
1996	160	15
1996	187	12
1996	214	20
1996	241	6
1996	268	0
1996	295	7
1996	322	28
1996	349	12
1997	10	12
1997	37	5
1997	64	14
1997	91	24
1997	118	23
1997	145	25
1997	172	11
1997	199	29
1997	226	46
1997	253	49
1997	280	36
1997	307	49
1997	334	55
1997	361	38
1998	23	57
1998	50	67
1998	77	95
1998	104	61
1998	131	71
1998	158	98
1998	185	92
1998	212	117
1998	239	135
1998	266	98
1998	293	85
1998	320	115
1998	347	98
1999	9	79
1999	36	112
1999	63	101
1999	90	94
1999	117	140
1999	144	185
1999	171	195
1999	198	166
1999	225	124
1999	252	106
1999	279	179
