ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
686588074.1823435	10405.00000	-2902.033747	11384.91280	14286.94655
686588074.4323435	10405.25000	-2898.998366	11387.90910	14286.90747
686588074.6823435	10405.50000	-2904.291685	11382.57670	14286.86838
686588074.9323435	10405.75000	-2903.304002	11383.52530	14286.82930
686588075.1823435	10406.00000	-2902.858219	11383.93200	14286.79022
686588075.4323435	10406.25000	-2899.217934	11387.53320	14286.75113
686588075.6823435	10406.50000	-2903.256249	11383.45580	14286.71205
686588075.9323435	10406.75000	-2904.372263	11382.30070	14286.67296
686588076.1823435	10407.00000	-2900.155176	11386.47870	14286.63388
686588076.4323435	10407.25000	-2900.842388	11385.75240	14286.59479
686588076.6823435	10407.50000	-2901.831299	11384.72440	14286.55570
686588076.9323435	10407.75000	-2901.690910	11384.82570	14286.51661
686588077.1823435	10408.00000	-2899.927919	11386.54960	14286.47752
686588077.4323435	10408.25000	-2902.382627	11384.05580	14286.43843
686588077.6823435	10408.50000	-2900.030235	11386.36910	14286.39933
686588077.9323435	10408.75000	-2899.674141	11386.68610	14286.36024
686588078.1823435	10409.00000	-2899.849247	11386.47190	14286.32115
686588078.4323435	10409.25000	-2900.027751	11386.25430	14286.28205
686588078.6823435	10409.50000	-2898.971555	11387.27140	14286.24296
686588078.9323435	10409.75000	-2900.446658	11385.75720	14286.20386
686588079.1823435	10410.00000	-2891.467959	11394.69680	14286.16476
686588079.4323435	10410.25000	-2898.726860	11387.39880	14286.12566
686588079.6823435	10410.50000	-2898.703461	11387.38310	14286.08656
686588079.9323435	10410.75000	-2897.722760	11388.32470	14286.04746
686588080.1823435	10411.00000	-2896.766358	11389.24200	14286.00836
686588080.4323435	10411.25000	-2898.004155	11387.96510	14285.96925
686588080.6823435	10411.50000	-2899.339151	11386.59100	14285.93015
686588080.9323435	10411.75000	-2898.321347	11387.56970	14285.89105
686588081.1823435	10412.00000	-2896.858242	11388.99370	14285.85194
686588081.4323435	10412.25000	-2900.826235	11384.98660	14285.81283
686588081.6823435	10412.50000	-2895.821927	11389.95180	14285.77373
686588081.9323435	10412.75000	-2897.468719	11388.26590	14285.73462
686588082.1823435	10413.00000	-2897.597310	11388.09820	14285.69551
686588082.4323435	10413.25000	-2895.693100	11389.96330	14285.65640
686588082.6823435	10413.50000	-2891.976989	11393.64030	14285.61729
686588082.9323435	10413.75000	-2896.125576	11389.45260	14285.57818
686588083.1823435	10414.00000	-2897.247863	11388.29120	14285.53906
686588083.4323435	10414.25000	-2896.456250	11389.04370	14285.49995
686588083.6823435	10414.50000	-2895.525835	11389.93500	14285.46084
686588083.9323435	10414.75000	-2896.178720	11389.24300	14285.42172
686588084.1823435	10415.00000	-2897.326603	11388.05600	14285.38260
686588084.4323435	10415.25000	-2895.406785	11389.93670	14285.34348
686588084.6823435	10415.50000	-2901.000967	11384.30340	14285.30437
686588084.9323435	10415.75000	-2895.634447	11389.63080	14285.26525
686588085.1823435	10416.00000	-2894.581127	11390.64500	14285.22613
686588085.4323435	10416.25000	-2895.088806	11390.09820	14285.18701
686588085.6823435	10416.50000	-2895.095583	11390.05230	14285.14788
686588085.9323435	10416.75000	-2892.734460	11392.37430	14285.10876
686588086.1823435	10417.00000	-2893.381436	11391.68820	14285.06964
