YYYY DOY HR MN V
2021 285 0 0 366.0
2021 285 0 5 364.5
2021 285 0 10 364.8
2021 285 0 15 363.8
2021 285 0 20 363.5
2021 285 0 25 362.0
2021 285 0 30 362.9
2021 285 0 35 362.6
2021 285 0 40 364.7
2021 285 0 45 367.0
2021 285 0 50 364.4
2021 285 0 55 365.5
2021 285 1 0 364.8
2021 285 1 5 366.1
2021 285 1 10 367.6
2021 285 1 15 368.5
2021 285 1 20 367.0
2021 285 1 25 368.9
2021 285 1 30 372.1
2021 285 1 35 371.0
2021 285 1 40 369.9
2021 285 1 45 367.0
2021 285 1 50 374.9
2021 285 1 55 370.4
2021 285 2 0 364.5
2021 285 2 5 363.0
2021 285 2 10 361.4
2021 285 2 15 360.3
2021 285 2 20 99999.9
2021 285 2 25 99999.9
2021 285 2 30 99999.9
2021 285 2 35 402.0
2021 285 2 40 472.1
2021 285 2 45 475.1
2021 285 2 50 452.1
2021 285 2 55 402.8
2021 285 3 0 434.7
2021 285 3 5 436.1
2021 285 3 10 430.9
2021 285 3 15 425.2
2021 285 3 20 433.8
2021 285 3 25 431.2
2021 285 3 30 425.7
2021 285 3 35 419.9
2021 285 3 40 415.6
2021 285 3 45 414.9
2021 285 3 50 433.3
2021 285 3 55 419.3
2021 285 4 0 430.8
2021 285 4 5 419.8
2021 285 4 10 426.0
2021 285 4 15 422.1
2021 285 4 20 417.0
2021 285 4 25 438.6
2021 285 4 30 449.1
2021 285 4 35 439.1
2021 285 4 40 444.0
2021 285 4 45 448.9
2021 285 4 50 451.8
2021 285 4 55 447.4
2021 285 5 0 446.3
2021 285 5 5 457.1
2021 285 5 10 451.9
2021 285 5 15 448.9
2021 285 5 20 450.6
2021 285 5 25 451.1
2021 285 5 30 452.4
2021 285 5 35 450.4
2021 285 5 40 461.6
2021 285 5 45 450.8
2021 285 5 50 453.0
2021 285 5 55 456.5
2021 285 6 0 456.7
2021 285 6 5 463.3
2021 285 6 10 464.8
2021 285 6 15 467.7
2021 285 6 20 467.5
2021 285 6 25 458.5
2021 285 6 30 449.8
2021 285 6 35 445.7
2021 285 6 40 448.3
2021 285 6 45 446.2
2021 285 6 50 454.7
2021 285 6 55 461.0
2021 285 7 0 459.9
2021 285 7 5 453.4
2021 285 7 10 451.6
2021 285 7 15 444.3
2021 285 7 20 447.2
2021 285 7 25 483.7
2021 285 7 30 479.3
2021 285 7 35 480.9
2021 285 7 40 496.9
2021 285 7 45 504.9
2021 285 7 50 502.4
2021 285 7 55 496.7
2021 285 8 0 483.3
2021 285 8 5 468.5
2021 285 8 10 467.2
2021 285 8 15 463.1
2021 285 8 20 463.8
2021 285 8 25 460.4
2021 285 8 30 456.2
2021 285 8 35 454.9
2021 285 8 40 457.0
2021 285 8 45 452.8
2021 285 8 50 453.5
2021 285 8 55 453.6
2021 285 9 0 451.1
2021 285 9 5 456.1
2021 285 9 10 453.8
2021 285 9 15 454.9
2021 285 9 20 452.9
2021 285 9 25 455.5
2021 285 9 30 459.3
2021 285 9 35 461.4
2021 285 9 40 461.5
2021 285 9 45 461.7
2021 285 9 50 457.6
2021 285 9 55 457.8
2021 285 10 0 458.3
2021 285 10 5 453.0
2021 285 10 10 452.0
2021 285 10 15 455.3
2021 285 10 20 456.0
2021 285 10 25 457.0
2021 285 10 30 458.4
2021 285 10 35 457.0
2021 285 10 40 455.9
2021 285 10 45 453.4
2021 285 10 50 453.0
2021 285 10 55 452.5
2021 285 11 0 449.4
2021 285 11 5 449.9
2021 285 11 10 453.1
2021 285 11 15 453.8
2021 285 11 20 451.3
2021 285 11 25 450.0
2021 285 11 30 450.4
2021 285 11 35 449.0
2021 285 11 40 449.0
2021 285 11 45 457.9
2021 285 11 50 455.1
2021 285 11 55 450.7
2021 285 12 0 448.9
2021 285 12 5 448.6
2021 285 12 10 453.9
2021 285 12 15 457.2
2021 285 12 20 455.6
2021 285 12 25 458.4
2021 285 12 30 447.7
2021 285 12 35 444.3
2021 285 12 40 99999.9
2021 285 12 45 445.5
2021 285 12 50 445.2
2021 285 12 55 444.9
2021 285 13 0 445.2
2021 285 13 5 444.0
2021 285 13 10 448.6
2021 285 13 15 456.5
2021 285 13 20 99999.9
2021 285 13 25 458.7
2021 285 13 30 459.0
2021 285 13 35 462.0
2021 285 13 40 466.6
2021 285 13 45 99999.9
2021 285 13 50 461.0
2021 285 13 55 460.2
2021 285 14 0 456.8
2021 285 14 5 454.8
