YEAR DOY HR  1 
1987  18  0   7
1987  45  0  12
1987  72  0  22
1987  99  0  47
1987 126  0  39
1987 153  0  19
1987 180  0  28
1987 207  0  60
1987 234  0  44
1987 261  0  43
1987 288  0  65
1987 315  0  40
1987 342  0  32
1988   4  0  74
1988  31  0  46
1988  58  0  78
1988  85  0 132
1988 112  0  74
1988 139  0 101
1988 166  0 119
1988 193  0 139
1988 220  0 135
1988 247  0 142
1988 274  0 157
1988 301  0 167
1988 328  0 186
1988 355  0 238
1989  16  0 196
1989  43  0 192
1989  70  0 175
1989  97  0 165
1989 124  0 204
1989 151  0 283
1989 178  0 196
1989 205  0 245
1989 232  0 234
1989 259  0 190
1989 286  0 225
1989 313  0 226
1989 340  0 206
1990   2  0 225
1990  29  0 163
1990  56  0 198
1990  83  0 192
1990 110  0 174
1990 137  0 173
1990 164  0 196
1990 191  0 167
1990 218  0 261
1990 245  0 170
1990 272  0 210
1990 299  0 172
1990 326  0 205
1990 353  0 159
1991  15  0 222
1991  42  0 217
1991  69  0 211
1991  96  0 197
1991 123  0 168
1991 150  0 224
1991 177  0 228
1991 204  0 217
1991 231  0 244
1991 258  0 171
1991 285  0 201
1991 312  0 147
1991 339  0 220
1992   1  0 187
1992  28  0 228
1992  55  0 177
1992  82  0 123
1992 109  0 147
1992 136  0  88
1992 163  0  99
1992 190  0 119
1992 217  0  90
1992 244  0  90
1992 271  0 119
1992 298  0 135
1992 325  0 130
1992 352  0 114
1993  13  0  86
1993  40  0 129
1993  67  0  95
1993  94  0  93
1993 121  0  73
1993 148  0  71
1993 175  0  83
1993 202  0  72
1993 229  0  43
1993 256  0  58
1993 283  0  53
1993 310  0  55
1993 337  0  63
1993 364  0  91
1994  26  0  58
1994  53  0  55
1994  80  0  22
1994 107  0  38
1994 134  0  25
1994 161  0  49
1994 188  0  48
1994 215  0  35
1994 242  0  42
1994 269  0  60
1994 296  0  47
1994 323  0  28
1994 350  0  24
1995  12  0  45
1995  39  0  52
1995  66  0  37
1995  93  0  22
1995 120  0  20
1995 147  0  21
1995 174  0  25
1995 201  0  12
1995 228  0  16
1995 255  0  15
1995 282  0  35
1995 309  0  16
1995 336  0  15
1995 363  0  13
1996  25  0   6
1996  52  0  12
1996  79  0  10
1996 106  0   9
1996 133  0   9
1996 160  0  15
1996 187  0  12
1996 214  0  20
1996 241  0   6
1996 268  0   0
1996 295  0   7
1996 322  0  28
1996 349  0  12
1997  10  0  12
1997  37  0   5
1997  64  0  14
1997  91  0  24
1997 118  0  23
1997 145  0  25
1997 172  0  11
1997 199  0  29
1997 226  0  46
1997 253  0  49
1997 280  0  36
1997 307  0  49
1997 334  0  55
1997 361  0  38
1998  23  0  57
1998  50  0  67
1998  77  0  95
1998 104  0  61
1998 131  0  71
1998 158  0  98
1998 185  0  92
1998 212  0 117
1998 239  0 135
1998 266  0  98
1998 293  0  85
1998 320  0 115
1998 347  0  98
1999   9  0  79
1999  36  0 112
1999  63  0 101
1999  90  0  94
1999 117  0 140
1999 144  0 185
1999 171  0 195
1999 198  0 166
1999 225  0 124
1999 252  0 106
1999 279  0 179
1999 306  0 194
1999 333  0 123
1999 360  0 134
2000  22  0 140
2000  49  0 188
2000  76  0 221
2000 103  0 158
2000 130  0 182
2000 157  0 198
2000 184  0 256
2000 211  0 181
2000 238  0 141
2000 265  0 169
2000 292  0 150
2000 319  0 134
2000 346  0 158
2001   7  0 139
2001  34  0 120
2001  61  0 151
2001  88  0 177
2001 115  0 144
2001 142  0 193
2001 169  0 147
2001 196  0 142
2001 223  0 168
2001 250  0 249
2001 277  0 192
2001 304  0 176
2001 331  0 199
2001 358  0 200
2002  20  0 188
2002  47  0 146
2002  74  0 171
2002 101  0 190
2002 128  0 178
2002 155  0 122
2002 182  0 143
2002 209  0 203
2002 236  0 182
2002 263  0 156
2002 290  0 168
2002 317  0 125
2002 344  0 126
2003   6  0 140
2003  33  0  76
2003  60  0  90
2003  87  0  94
2003 114  0 106
2003 141  0 105
2003 168  0 119
2003 195  0 127
2003 222  0 108
2003 249  0  82
2003 276  0  86
2003 303  0  83
2003 330  0  91
2003 357  0  64
2004  19  0  68
2004  46  0  62
2004  73  0  82
2004 100  0  56
2004 127  0  75
2004 154  0  69
2004 181  0  85
2004 208  0  76
2004 235  0  56
2004 262  0  30
2004 289  0 107
2004 316  0  53
2004 343  0  27
2005   4  0  49
2005  31  0  46
2005  58  0  41
2005  85  0  38
2005 112  0  59
2005 139  0  63
2005 166  0  72
2005 193  0  43
2005 220  0  52
2005 247  0  39
2005 274  0  13
2005 301  0  24
2005 328  0  50
2005 355  0  37
2006  17  0  15
2006  44  0   6
2006  71  0  37
2006  98  0  45
2006 125  0  34
2006 152  0  22
2006 179  0  25
2006 206  0  19
2006 233  0  27
2006 260  0  18
2006 287  0  25
2006 314  0  34
2006 341  0  18
2007   3  0  28
2007  30  0  19
2007  57  0   8
2007  84  0   4
2007 111  0  20
2007 138  0  27
2007 165  0  11
2007 192  0  12
2007 219  0  11
2007 246  0   3
2007 273  0   2
2007 300  0   2
2007 327  0  21
2007 354  0   4
2008  16  0   3
2008  43  0   2
2008  70  0  19
2008  97  0   2
2008 124  0   5
2008 151  0   6
2008 178  0   1
2008 205  0   0
2008 232  0   1
2008 259  0   2
2008 286  0   7
2008 313  0   4
2008 340  0   1
2009   1  0   2
2009  28  0   1
2009  55  0   1
2009  82  0   0
2009 109  0   3
2009 136  0   6
2009 163  0   7
2009 190  0   2
2009 217  0   0
2009 244  0   6
2009 271  0   4
2009 298  0  13
2009 325  0   8
2009 352  0  21
2010  14  0  23
2010  41  0  27
2010  68  0  24
2010  95  0   8
2010 122  0  13
2010 149  0  20
2010 176  0  19
2010 203  0  39
2010 230  0  21
2010 257  0  33
2010 284  0  38
2010 311  0  37
2010 338  0  23
2010 365  0  30
2011  27  0  46
2011  54  0  66
2011  81  0  82
2011 108  0  67
2011 135  0  65
2011 162  0  42
2011 189  0  74
2011 216  0  60
2011 243  0 121
2011 270  0 130
2011 297  0 131
2011 324  0 122
2011 351  0  98
2012  13  0  80
2012  40  0  54
2012  67  0  89
2012  94  0  86
2012 121  0  99
2012 148  0 101
2012 175  0  96
2012 202  0  98
2012 229  0  93
2012 256  0  75
2012 283  0  77
2012 310  0  93
2012 337  0  56
2012 364  0 103
2013  25  0  61
2013  52  0  83
2013  79  0  86
2013 106  0 110
2013 133  0 102
2013 160  0  87
2013 187  0  83
2013 214  0  94
2013 241  0  55
2013 268  0  93
2013 295  0 138
2013 322  0 107
2013 349  0 125
2014  11  0 115
2014  38  0 150
2014  65  0 123
2014  92  0 116
2014 119  0 120
2014 146  0 103
2014 173  0 105
2014 200  0  92
2014 227  0 116
2014 254  0 121
2014 281  0  88
2014 308  0 104
2014 335  0 116
2014 362  0  86
2015  24  0  88
2015  51  0  44
2015  78  0  64
2015 105  0  98
2015 132  0  77
2015 159  0  66
2015 186  0  64
2015 213  0  67
2015 240  0  59
2015 267  0  73
2015 294  0  76
2015 321  0  56
2015 348  0  56
2016  10  0  61
2016  37  0  54
2016  64  0  53
2016  91  0  30
2016 118  0  62
2016 145  0  29
2016 172  0  26
2016 199  0  36
2016 226  0  54
2016 253  0  38
2016 280  0  34
2016 307  0  20
2016 334  0  23
2016 361  0  17
2017  22  0  30
2017  49  0  19
2017  76  0  33
2017 103  0  24
2017 130  0  20
2017 157  0  18
2017 184  0  19
2017 211  0  28
2017 238  0  48
2017 265  0  18
2017 292  0   8
2017 319  0   8
2017 346  0   9
2018   8  0   6
2018  35  0  12
2018  62  0   1
2018  89  0  10
2018 116  0   7
2018 143  0  16
2018 170  0  12
2018 197  0   1
2018 224  0   9
2018 251  0   6
2018 278  0   4
2018 305  0   7
2018 332  0   4
2018 359  0   2
2019  21  0   7
2019  48  0   5
2019  75  0  11
2019 102  0   9
2019 129  0   8
2019 156  0   1
2019 183  0   1
2019 210  0   1
2019 237  0   1
2019 264  0   0
2019 291  0   1
2019 318  0   0
2019 345  0   4
2020   7  0   5
2020  34  0   0
2020  61  0   1
2020  88  0   2
2020 115  0   4
2020 142  0   6
2020 169  0   2
2020 196  0  11
2020 223  0   4
2020 250  0   1
2020 277  0  14
2020 304  0  25
2020 331  0  30
2020 358  0  13
2021  19  0   9
2021  46  0  16
2021  73  0  13
2021 100  0  26
2021 127  0  26
2021 154  0  24
2021 181  0  40
2021 208  0  12
2021 235  0  48
2021 262  0  38
2021 289  0  45
2021 316  0  30
2021 343  0  74
2022   5  0  60
2022  32  0  61
2022  59  0  70
2022  86  0  82
2022 113  0 101
2022 140  0  76
2022 167  0  84
2022 194  0  84
2022 221  0  80
2022 248  0 101
2022 275  0  97
2022 302  0  83
2022 329  0  54
