ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
687365674.1823573	10405.00000	-2896.404673	17421.89350	20318.29817
687365674.4323573	10405.25000	-2895.704252	17422.55760	20318.26185
687365674.6823573	10405.50000	-2893.842730	17424.38280	20318.22553
687365674.9323573	10405.75000	-2895.827108	17422.36210	20318.18921
687365675.1823573	10406.00000	-2897.082683	17421.07020	20318.15288
687365675.4323573	10406.25000	-2895.743459	17422.37310	20318.11656
687365675.6823573	10406.50000	-2894.172233	17423.90800	20318.08023
687365675.9323573	10406.75000	-2895.815507	17422.22840	20318.04391
687365676.1823573	10407.00000	-2892.279979	17425.72760	20318.00758
687365676.4323573	10407.25000	-2900.017551	17417.95370	20317.97125
687365676.6823573	10407.50000	-2894.683522	17423.25140	20317.93492
687365676.9323573	10407.75000	-2895.157392	17422.74120	20317.89859
687365677.1823573	10408.00000	-2893.529260	17424.33300	20317.86226
687365677.4323573	10408.25000	-2896.167729	17421.65820	20317.82593
687365677.6823573	10408.50000	-2894.088296	17423.70130	20317.78960
687365677.9323573	10408.75000	-2895.264263	17422.48900	20317.75326
687365678.1823573	10409.00000	-2895.113228	17422.60370	20317.71693
687365678.4323573	10409.25000	-2892.739492	17424.94110	20317.68059
687365678.6823573	10409.50000	-2893.595455	17424.04880	20317.64425
687365678.9323573	10409.75000	-2892.122917	17425.48500	20317.60792
687365679.1823573	10410.00000	-2894.801379	17422.77020	20317.57158
687365679.4323573	10410.25000	-2892.859640	17424.67560	20317.53524
687365679.6823573	10410.50000	-2893.163899	17424.33500	20317.49890
687365679.9323573	10410.75000	-2894.091058	17423.37150	20317.46256
687365680.1823573	10411.00000	-2896.924116	17420.50210	20317.42622
687365680.4323573	10411.25000	-2891.369373	17426.02050	20317.38987
687365680.6823573	10411.50000	-2892.241929	17425.11160	20317.35353
687365680.9323573	10411.75000	-2891.077984	17426.23920	20317.31718
687365681.1823573	10412.00000	-2892.104638	17425.17620	20317.28084
687365681.4323573	10412.25000	-2890.179092	17427.06540	20317.24449
687365681.6823573	10412.50000	-2890.814044	17426.39410	20317.20814
687365681.9323573	10412.75000	-2890.573095	17426.59870	20317.17179
687365682.1823573	10413.00000	-2892.535346	17424.60010	20317.13545
687365682.4323573	10413.25000	-2891.253095	17425.84600	20317.09909
687365682.6823573	10413.50000	-2889.207444	17427.85530	20317.06274
687365682.9323573	10413.75000	-2890.509192	17426.51720	20317.02639
687365683.1823573	10414.00000	-2887.709538	17429.28050	20316.99004
687365683.4323573	10414.25000	-2888.451185	17428.50250	20316.95368
687365683.6823573	10414.50000	-2889.600230	17427.31710	20316.91733
687365683.9323573	10414.75000	-2888.874973	17428.00600	20316.88097
687365684.1823573	10415.00000	-2887.776416	17429.06820	20316.84462
687365684.4323573	10415.25000	-2888.884359	17427.92390	20316.80826
687365684.6823573	10415.50000	-2889.830500	17426.94140	20316.77190
687365684.9323573	10415.75000	-2887.057640	17429.67790	20316.73554
687365685.1823573	10416.00000	-2889.130480	17427.56870	20316.69918
687365685.4323573	10416.25000	-2887.813718	17428.84910	20316.66282
687365685.6823573	10416.50000	-2890.838557	17425.78790	20316.62646
687365685.9323573	10416.75000	-2888.772194	17427.81790	20316.59009
687365686.1823573	10417.00000	-2887.551629	17429.00210	20316.55373
687365686.4323573	10417.25000	-2886.597063	17429.92030	20316.51736
687365686.6823573	10417.50000	-2888.389397	17428.09160	20316.48100
687365686.9323573	10417.75000	-2885.431830	17431.01280	20316.44463
687365687.1823573	10418.00000	-2887.790162	17428.61810	20316.40826
687365687.4323573	10418.25000	-2883.812093	17432.55980	20316.37189
687365687.6823573	10418.50000	-2887.460724	17428.87480	20316.33552
687365687.9323573	10418.75000	-2886.833953	17429.46520	20316.29915
687365688.1823573	10419.00000	-2886.153282	17430.10950	20316.26278
687365688.4323573	10419.25000	-2886.868509	17429.35790	20316.22641
687365688.6823573	10419.50000	-2885.619036	17430.57100	20316.19004
687365688.9323573	10419.75000	-2884.470562	17431.68310	20316.15366
687365689.1823573	10420.00000	-2887.330086	17428.78720	20316.11729
687365689.4323573	10420.25000	-2885.790810	17430.29010	20316.08091
687365689.6823573	10420.50000	-2885.498833	17430.54570	20316.04453
687365689.9323573	10420.75000	-2883.591055	17432.41710	20316.00815
687365690.1823573	10421.00000	-2884.801576	17431.17020	20315.97178
687365690.4323573	10421.25000	-2887.702196	17428.23320	20315.93540
687365690.6823573	10421.50000	-2886.229616	17429.66940	20315.89902
687365690.9323573	10421.75000	-2882.065034	17433.79760	20315.86263
687365691.1823573	10422.00000	-2883.400851	17432.42540	20315.82625
687365691.4323573	10422.25000	-2884.555367	17431.23450	20315.78987
687365691.6823573	10422.50000	-2885.646883	17430.10660	20315.75348
687365691.9323573	10422.75000	-2884.133398	17431.58370	20315.71710
687365692.1823573	10423.00000	-2884.076512	17431.60420	20315.68071
687365692.4323573	10423.25000	-2882.916424	17432.72790	20315.64432
687365692.6823573	10423.50000	-2883.295436	17432.31250	20315.60794
687365692.9323573	10423.75000	-2882.007147	17433.56440	20315.57155
687365693.1823573	10424.00000	-2882.952958	17432.58220	20315.53516
687365693.4323573	10424.25000	-2880.830666	17434.66810	20315.49877
687365693.6823573	10424.50000	-2883.682875	17431.77950	20315.46237
687365693.9323573	10424.75000	-2883.819082	17431.60690	20315.42598
687365694.1823573	10425.00000	-2882.137689	17433.25190	20315.38959
687365694.4323573	10425.25000	-2880.873093	17434.48010	20315.35319
687365694.6823573	10425.50000	-2878.516098	17436.80070	20315.31680
687365694.9323573	10425.75000	-2880.936402	17434.34400	20315.28040
687365695.1823573	10426.00000	-2881.529805	17433.71420	20315.24400
687365695.4323573	10426.25000	-2881.329806	17433.87780	20315.20761
687365695.6823573	10426.50000	-2880.494607	17434.67660	20315.17121
687365695.9323573	10426.75000	-2881.776807	17433.35800	20315.13481
687365696.1823573	10427.00000	-2881.378406	17433.72000	20315.09841
687365696.4323573	10427.25000	-2880.846304	17434.21570	20315.06200
687365696.6823573	10427.50000	-2879.983101	17435.04250	20315.02560
687365696.9323573	10427.75000	-2880.792798	17434.19640	20314.98920
687365697.1823573	10428.00000	-2879.908593	17435.04420	20314.95279
687365697.4323573	10428.25000	-2881.618387	17433.29800	20314.91639
687365697.6823573	10428.50000	-2882.527680	17432.35230	20314.87998
687365697.9323573	10428.75000	-2881.567173	17433.27640	20314.84357
687365698.1823573	10429.00000	-2881.295165	17433.51200	20314.80717
687365698.4323573	10429.25000	-2872.548156	17442.22260	20314.77076
687365698.6823573	10429.50000	-2878.946745	17435.78760	20314.73435
687365698.9323573	10429.75000	-2879.347034	17435.35090	20314.69793
687365699.1823573	10430.00000	-2879.284122	17435.37740	20314.66152
687365699.4323573	10430.25000	-2879.679309	17434.94580	20314.62511
687365699.6823573	10430.50000	-2878.835195	17435.75350	20314.58870
687365699.9323573	10430.75000	-2877.909080	17436.64320	20314.55228
687365700.1823573	10431.00000	-2874.001764	17440.51410	20314.51586
687365700.4323573	10431.25000	-2879.044549	17435.43490	20314.47945
687365700.6823573	10431.50000	-2877.278131	17437.16490	20314.44303
687365700.9323573	10431.75000	-2876.963812	17437.44280	20314.40661
687365701.1823573	10432.00000	-2877.036093	17437.33410	20314.37019
687365701.4323573	10432.25000	-2876.689473	17437.64430	20314.33377
687365701.6823573	10432.50000	-2877.516051	17436.78130	20314.29735
687365701.9323573	10432.75000	-2876.695229	17437.56570	20314.26093
687365702.1823573	10433.00000	-2877.286506	17436.93800	20314.22451
687365702.4323573	10433.25000	-2874.563682	17439.62440	20314.18808
687365702.6823573	10433.50000	-2874.692957	17439.45870	20314.15166
687365702.9323573	10433.75000	-2876.007832	17438.10740	20314.11523
687365703.1823573	10434.00000	-2876.383604	17437.69520	20314.07880
687365703.4323573	10434.25000	-2876.196177	17437.84620	20314.04238
687365703.6823573	10434.50000	-2873.567449	17440.43850	20314.00595
687365703.9323573	10434.75000	-2875.672018	17438.29750	20313.96952
687365704.1823573	10435.00000	-2873.499088	17440.43400	20313.93309
687365704.4323573	10435.25000	-2874.536457	17439.36020	20313.89666
687365704.6823573	10435.50000	-2874.330625	17439.52960	20313.86022
687365704.9323573	10435.75000	-2874.807691	17439.01610	20313.82379
687365705.1823573	10436.00000	-2875.288458	17438.49890	20313.78736
687365705.4323573	10436.25000	-2875.048823	17438.70210	20313.75092
687365705.6823573	10436.50000	-2873.871987	17439.84250	20313.71449
687365705.9323573	10436.75000	-2874.609950	17439.06810	20313.67805
687365706.1823573	10437.00000	-2874.876112	17438.76550	20313.64161
687365706.4323573	10437.25000	-2874.233774	17439.37140	20313.60517
687365706.6823573	10437.50000	-2873.294434	17440.27430	20313.56873
687365706.9323573	10437.75000	-2873.962793	17439.56950	20313.53229
687365707.1823573	10438.00000	-2873.284152	17440.21170	20313.49585
687365707.4323573	10438.25000	-2874.205610	17439.25380	20313.45941
687365707.6823573	10438.50000	-2872.960267	17440.46270	20313.42297
687365707.9323573	10438.75000	-2873.333622	17440.05290	20313.38652
687365708.1823573	10439.00000	-2873.538178	17439.81190	20313.35008
687365708.4323573	10439.25000	-2873.381332	17439.93230	20313.31363
687365708.6823573	10439.50000	-2873.301584	17439.97560	20313.27718
687365708.9323573	10439.75000	-2875.993236	17437.24750	20313.24074
687365709.1823573	10440.00000	-2871.454487	17441.74980	20313.20429
687365709.4323573	10440.25000	-2872.130138	17441.03770	20313.16784
687365709.6823573	10440.50000	-2873.351787	17439.77960	20313.13139
687365709.9323573	10440.75000	-2871.710836	17441.38410	20313.09494
687365710.1823573	10441.00000	-2870.558583	17442.49990	20313.05848
687365710.4323573	10441.25000	-2868.888629	17444.13340	20313.02203
687365710.6823573	10441.50000	-2871.903576	17441.08200	20312.98558
687365710.9323573	10441.75000	-2871.797821	17441.15130	20312.94912
687365711.1823573	10442.00000	-2870.302164	17442.61050	20312.91266
687365711.4323573	10442.25000	-2871.677407	17441.19880	20312.87621
687365711.6823573	10442.50000	-2870.529349	17442.31040	20312.83975
687365711.9323573	10442.75000	-2871.070691	17441.73260	20312.80329
687365712.1823573	10443.00000	-2869.403630	17443.36320	20312.76683
687365712.4323573	10443.25000	-2870.001770	17442.72860	20312.73037
687365712.6823573	10443.50000	-2869.665608	17443.02830	20312.69391
687365712.9323573	10443.75000	-2868.736045	17443.92140	20312.65745
687365713.1823573	10444.00000	-2872.147082	17440.47390	20312.62098
687365713.4323573	10444.25000	-2866.747917	17445.83660	20312.58452
687365713.6823573	10444.50000	-2870.500652	17442.04740	20312.54805
687365713.9323573	10444.75000	-2867.897586	17444.61400	20312.51159
687365714.1823573	10445.00000	-2868.923818	17443.55130	20312.47512
687365714.4323573	10445.25000	-2874.401051	17438.03760	20312.43865
687365714.6823573	10445.50000	-2868.571482	17443.83070	20312.40218
687365714.9323573	10445.75000	-2868.562312	17443.80340	20312.36571
687365715.1823573	10446.00000	-2868.649140	17443.68010	20312.32924
687365715.4323573	10446.25000	-2868.498468	17443.79430	20312.29277
687365715.6823573	10446.50000	-2866.952896	17445.30340	20312.25630
687365715.9323573	10446.75000	-2868.075322	17444.14450	20312.21982
687365716.1823573	10447.00000	-2868.681948	17443.50140	20312.18335
687365716.4323573	10447.25000	-2868.064373	17444.08250	20312.14687
687365716.6823573	10447.50000	-2868.131397	17443.97900	20312.11040
687365716.9323573	10447.75000	-2867.349019	17444.72490	20312.07392
687365717.1823573	10448.00000	-2868.587341	17443.45010	20312.03744
687365717.4323573	10448.25000	-2866.545262	17445.45570	20312.00096
687365717.6823573	10448.50000	-2867.592682	17444.37180	20311.96448
687365717.9323573	10448.75000	-2866.900201	17445.02780	20311.92800
687365718.1823573	10449.00000	-2868.008919	17443.88260	20311.89152
687365718.4323573	10449.25000	-2866.163336	17445.69170	20311.85504
687365718.6823573	10449.50000	-2865.987153	17445.83140	20311.81855
687365718.9323573	10449.75000	-2865.624468	17446.15760	20311.78207
687365719.1823573	10450.00000	-2865.401083	17446.34450	20311.74558
687365719.4323573	10450.25000	-2867.138196	17444.57090	20311.70910
687365719.6823573	10450.50000	-2865.246109	17446.42650	20311.67261
687365719.9323573	10450.75000	-2867.402820	17444.23330	20311.63612
687365720.1823573	10451.00000	-2865.385231	17446.21440	20311.59963
