YYYY DOY HR MN      V
2021 275  0  0   469.5
2021 275  0  5   469.3
2021 275  0 10   470.7
2021 275  0 15   473.1
2021 275  0 20   475.4
2021 275  0 25   470.0
2021 275  0 30 99999.9
2021 275  0 35   466.1
2021 275  0 40   466.1
2021 275  0 45   465.4
2021 275  0 50   466.4
2021 275  0 55   461.8
2021 275  1  0   458.9
2021 275  1  5   461.5
2021 275  1 10   461.3
2021 275  1 15   461.1
2021 275  1 20   459.6
2021 275  1 25   457.2
2021 275  1 30   453.2
2021 275  1 35   454.7
2021 275  1 40   458.5
2021 275  1 45   456.9
2021 275  1 50   457.3
2021 275  1 55   457.1
2021 275  2  0   456.9
2021 275  2  5   453.8
2021 275  2 10   452.7
2021 275  2 15   453.8
2021 275  2 20   454.0
2021 275  2 25   453.5
2021 275  2 30   450.4
2021 275  2 35   450.5
2021 275  2 40   449.2
2021 275  2 45   449.3
2021 275  2 50   446.3
2021 275  2 55   446.6
2021 275  3  0   442.7
2021 275  3  5   443.0
2021 275  3 10   439.9
2021 275  3 15   436.2
2021 275  3 20   436.2
2021 275  3 25   438.1
2021 275  3 30   438.8
2021 275  3 35   438.5
2021 275  3 40   439.8
2021 275  3 45   437.5
2021 275  3 50 99999.9
2021 275  3 55 99999.9
2021 275  4  0   439.1
2021 275  4  5   437.3
2021 275  4 10   441.9
2021 275  4 15   439.9
2021 275  4 20   439.7
2021 275  4 25   439.1
2021 275  4 30   443.6
2021 275  4 35   446.9
2021 275  4 40   445.6
2021 275  4 45   443.5
2021 275  4 50   441.2
2021 275  4 55   439.3
2021 275  5  0   446.5
2021 275  5  5   451.2
2021 275  5 10   438.4
2021 275  5 15   436.3
2021 275  5 20   436.8
2021 275  5 25   436.5
2021 275  5 30   436.8
2021 275  5 35 99999.9
2021 275  5 40   435.9
2021 275  5 45   438.0
2021 275  5 50   436.2
2021 275  5 55   432.7
2021 275  6  0   432.1
2021 275  6  5   431.0
2021 275  6 10   430.9
2021 275  6 15   434.5
2021 275  6 20   439.0
2021 275  6 25   440.9
2021 275  6 30   433.7
2021 275  6 35   436.7
2021 275  6 40   433.6
2021 275  6 45   438.8
2021 275  6 50   434.8
2021 275  6 55   436.4
2021 275  7  0   434.7
2021 275  7  5   430.7
2021 275  7 10   430.0
2021 275  7 15   431.1
2021 275  7 20   415.9
2021 275  7 25   439.1
2021 275  7 30   442.1
2021 275  7 35   453.6
2021 275  7 40   451.5
2021 275  7 45   442.3
2021 275  7 50   438.7
2021 275  7 55   437.9
2021 275  8  0   439.0
2021 275  8  5   440.6
2021 275  8 10   440.8
2021 275  8 15   435.4
2021 275  8 20   435.0
2021 275  8 25   440.2
2021 275  8 30   440.4
2021 275  8 35   440.1
2021 275  8 40   440.0
2021 275  8 45   445.8
2021 275  8 50   442.7
2021 275  8 55   442.7
2021 275  9  0   448.6
2021 275  9  5   456.0
2021 275  9 10   459.1
2021 275  9 15   471.0
2021 275  9 20   466.7
2021 275  9 25   444.4
2021 275  9 30   458.0
2021 275  9 35   434.0
2021 275  9 40   426.4
2021 275  9 45   432.1
2021 275  9 50   433.5
2021 275  9 55   450.9
2021 275 10  0   459.1
2021 275 10  5   441.4
2021 275 10 10   441.8
2021 275 10 15   438.8
2021 275 10 20   423.0
2021 275 10 25   442.8
2021 275 10 30   443.9
2021 275 10 35   439.3
2021 275 10 40   446.4
2021 275 10 45   453.4
2021 275 10 50   449.2
2021 275 10 55   447.8
2021 275 11  0   448.1
2021 275 11  5   440.0
2021 275 11 10   435.5
2021 275 11 15   434.3
2021 275 11 20   436.8
2021 275 11 25   435.7
2021 275 11 30   439.8
2021 275 11 35   440.1
2021 275 11 40   441.1
2021 275 11 45   431.2
2021 275 11 50   423.3
2021 275 11 55   427.3
2021 275 12  0   427.5
2021 275 12  5   429.9
2021 275 12 10   431.8
2021 275 12 15   431.2
2021 275 12 20   430.0
2021 275 12 25   429.5
2021 275 12 30   431.4
2021 275 12 35   429.7
2021 275 12 40   428.7
2021 275 12 45   430.0
2021 275 12 50   428.0
2021 275 12 55   426.5
2021 275 13  0   425.2
2021 275 13  5   423.5
2021 275 13 10   422.6
2021 275 13 15   421.5
2021 275 13 20 99999.9
2021 275 13 25 99999.9
2021 275 13 30   416.5
2021 275 13 35   416.6
2021 275 13 40   416.9
2021 275 13 45   420.4
2021 275 13 50   431.8
2021 275 13 55   429.7
2021 275 14  0   429.8
2021 275 14  5   430.5
2021 275 14 10   430.8
2021 275 14 15   434.6
2021 275 14 20   433.1
2021 275 14 25   428.4
2021 275 14 30   407.4
2021 275 14 35   400.7
2021 275 14 40   402.5
2021 275 14 45   401.6
2021 275 14 50   403.9
2021 275 14 55   402.4
2021 275 15  0   402.9
2021 275 15  5   403.7
2021 275 15 10   404.4
2021 275 15 15 99999.9
2021 275 15 20   399.5
2021 275 15 25   400.1
2021 275 15 30   399.7
2021 275 15 35   398.5
2021 275 15 40   396.0
2021 275 15 45   395.8
2021 275 15 50   404.1
2021 275 15 55   410.3
2021 275 16  0   414.8
2021 275 16  5   413.7
2021 275 16 10   411.1
2021 275 16 15   417.7
2021 275 16 20   418.0
2021 275 16 25   414.0
2021 275 16 30   408.1
2021 275 16 35   439.3
2021 275 16 40   449.8
2021 275 16 45   442.6
2021 275 16 50 99999.9
2021 275 16 55   441.5
2021 275 17  0   437.1
2021 275 17  5   436.5
2021 275 17 10   437.8
2021 275 17 15   439.9
2021 275 17 20   425.1
2021 275 17 25   424.7
2021 275 17 30   423.0
2021 275 17 35   419.9
2021 275 17 40   419.2
2021 275 17 45   414.5
2021 275 17 50   411.8
2021 275 17 55   421.0
2021 275 18  0   414.2
2021 275 18  5   420.9
2021 275 18 10 99999.9
2021 275 18 15 99999.9
2021 275 18 20   422.2
2021 275 18 25   414.8
2021 275 18 30   409.3
2021 275 18 35   411.9
2021 275 18 40   411.2
2021 275 18 45   405.0
2021 275 18 50   414.0
2021 275 18 55   410.6
2021 275 19  0   409.3
2021 275 19  5   404.3
2021 275 19 10   403.7
2021 275 19 15   403.1
2021 275 19 20   403.3
2021 275 19 25   405.2
2021 275 19 30   404.3
2021 275 19 35   403.8
2021 275 19 40   402.4
2021 275 19 45   402.4
2021 275 19 50   402.4
2021 275 19 55   403.6
2021 275 20  0   403.8
2021 275 20  5 99999.9
2021 275 20 10   402.8
2021 275 20 15   403.2
2021 275 20 20   404.4
2021 275 20 25   404.8
2021 275 20 30   404.6
2021 275 20 35   402.5
2021 275 20 40   401.3
2021 275 20 45   402.6
2021 275 20 50   405.0
2021 275 20 55   407.2
2021 275 21  0   406.8
2021 275 21  5   404.4
2021 275 21 10   404.1
2021 275 21 15   402.4
2021 275 21 20   400.0
2021 275 21 25   402.1
2021 275 21 30   403.6
2021 275 21 35   403.4
2021 275 21 40   401.6
2021 275 21 45   400.3
2021 275 21 50   398.4
2021 275 21 55   400.3
2021 275 22  0   398.9
2021 275 22  5   400.0
2021 275 22 10   401.3
2021 275 22 15   400.3
2021 275 22 20   402.3
2021 275 22 25   403.4
2021 275 22 30   402.8
2021 275 22 35   404.4
2021 275 22 40   403.5
2021 275 22 45   404.3
2021 275 22 50   402.5
2021 275 22 55   404.2
2021 275 23  0   405.1
2021 275 23  5   406.0
2021 275 23 10   407.9
2021 275 23 15   408.4
2021 275 23 20   408.8
2021 275 23 25   410.6
2021 275 23 30   410.1
2021 275 23 35   407.2
2021 275 23 40   409.8
2021 275 23 45   410.3
2021 275 23 50   414.4
2021 275 23 55   410.5
2021 276  0  0   410.0
2021 276  0  5   411.2
2021 276  0 10   411.4
2021 276  0 15   411.6
2021 276  0 20   410.4
2021 276  0 25   414.2
2021 276  0 30   413.9
2021 276  0 35   415.4
2021 276  0 40   415.9
2021 276  0 45   414.7
2021 276  0 50   412.2
2021 276  0 55   413.8
2021 276  1  0   417.8
2021 276  1  5   414.4
2021 276  1 10   418.4
2021 276  1 15   419.4
2021 276  1 20   411.8
2021 276  1 25   414.8
2021 276  1 30   412.6
2021 276  1 35   416.1
2021 276  1 40   415.4
