i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp
1,21720.0,43.40549452131652,8410640000.0,-42400.492706323195,-334402.4927062988
1,21720.25,41.14197970769939,8410640000.0,-42396.38176567266,-334398.3817653656
1,21720.5,41.37362748694106,8410640000.0,-42392.42395650173,-334394.42395687103
1,21720.75,42.40678794289571,8410640000.0,-42388.441756912915,-334390.44175720215
2,21721.0,44.53065958620522,8410640000.0,-42384.24857704368,-334386.2485771179
2,21721.25,42.558415757955906,8410640000.0,-42380.096003668354,-334382.0960035324
2,21721.5,44.877230493329066,8410640000.0,-42376.16228660871,-334378.1622867584
2,21721.75,44.61602888878361,8410640000.0,-42372.06181174929,-334374.06181144714
3,21722.0,42.722113206224755,8410640000.0,-42368.086492026814,-334370.0864915848
3,21722.25,43.43547354690655,8410640000.0,-42364.01585364316,-334366.01585388184
3,21722.5,43.79170287682508,8410640000.0,-42359.994752137645,-334361.99475193024
3,21722.75,43.034499415564596,8410640000.0,-42356.00421257767,-334358.00421237946
4,21723.0,43.885856652897054,8410640000.0,-42351.95195329503,-334353.95195293427
4,21723.25,43.03446858505472,8410640000.0,-42347.96006290595,-334349.96006298065
4,21723.5,42.75288794792891,8410640000.0,-42343.78958864226,-334345.7895889282
4,21723.75,43.80435060838482,8410640000.0,-42339.81166214725,-334341.8116617203
5,21724.0,42.77721036151809,8410640000.0,-42335.80423327708,-334337.804233551
5,21724.25,41.49472530538994,8410640000.0,-42331.81939105012,-334333.8193912506
5,21724.5,42.68565921655632,8410640000.0,-42327.75904616142,-334329.75904655457
5,21724.75,43.02329908587699,8410640000.0,-42323.700885351216,-334325.7008857727
6,21725.0,42.31985755402258,8410640000.0,-42319.58377271511,-334321.5837726593
6,21725.25,38.2862602759075,8410640000.0,-42315.746948140535,-334317.7469482422
6,21725.5,35.47911018435541,8410640000.0,-42311.72911018233,-334313.7291097641
6,21725.75,30.828512951775902,8410640000.0,-42307.543025687046,-334309.54302597046
7,21726.0,30.700782465862122,8410640000.0,-42303.44845232461,-334305.44845199585
7,21726.25,30.11748247542736,8410640000.0,-42299.38439606206,-334301.38439559937
7,21726.5,31.863889503032503,8410640000.0,-42295.35428520735,-334297.3542852402
7,21726.75,34.889608847580774,8410640000.0,-42291.34174118127,-334293.3417415619
8,21727.0,36.08686457209319,8410640000.0,-42287.376723431684,-334289.3767232895
8,21727.25,36.10163249603762,8410640000.0,-42283.17685839449,-334285.1768579483
8,21727.5,34.65911980263476,8410640000.0,-42279.08932917295,-334281.08932876587
8,21727.75,33.722509402635325,8410640000.0,-42275.097148285815,-334277.0971479416
9,21728.0,34.39727128341366,8410640000.0,-42271.00215643283,-334273.00215625763
9,21728.25,33.68347834592427,8410640000.0,-42267.07520153847,-334269.0752019882
9,21728.5,33.28042081533894,8410640000.0,-42263.02434960607,-334265.02434921265
9,21728.75,33.39100161749539,8410640000.0,-42258.99435061265,-334260.99435043335
10,21729.0,33.91084459957771,8410640000.0,-42254.943394701324,-334256.94339466095
10,21729.25,34.70835100292873,8410640000.0,-42250.87708314147,-334252.8770828247
10,21729.5,41.81104374341521,8410640000.0,-42246.83733701585,-334248.8373365402
10,21729.75,41.860528040978785,8410640000.0,-42242.80970358464,-334244.8097038269
11,21730.0,38.50928776628248,8410640000.0,-42238.67080793161,-334240.67080783844
11,21730.25,36.64839706063817,8410640000.0,-42234.79205151187,-334236.7920513153
11,21730.5,38.49407166200472,8410640000.0,-42230.66235322465,-334232.6623535156
11,21730.75,37.81492752349704,8410640000.0,-42226.61412949319,-334228.61412906647
12,21731.0,40.30833043213202,8410640000.0,-42222.56871227933,-334224.5687122345
12,21731.25,42.48462378724476,8410640000.0,-42218.52184828251,-334220.5218486786
12,21731.5,41.482304837144355,8410640000.0,-42214.52980063374,-334216.52980041504
12,21731.75,40.49949316575684,8410640000.0,-42210.44165809807,-334212.44165802
13,21732.0,41.53610373345115,8410640000.0,-42206.28038265479,-334208.28038311005
13,21732.25,39.02573316371931,8410640000.0,-42202.23121997862,-334204.23122024536
13,21732.5,37.817306808186146,8410640000.0,-42198.327574357914,-334200.3275747299
13,21732.75,35.34371440705763,8410640000.0,-42194.10225960594,-334196.1022596359
14,21733.0,32.57306156060258,8410640000.0,-42190.0661260717,-334192.06612586975
14,21733.25,32.249208784946504,8410640000.0,-42186.09749648921,-334188.0974960327
14,21733.5,34.366653076645655,8410640000.0,-42182.03883030382,-334184.03883075714
14,21733.75,34.87674917967473,8410640000.0,-42177.97617015913,-334179.97617053986
15,21734.0,36.108578543490104,8410640000.0,-42173.99080069713,-334175.99080085754
15,21734.25,35.07341103167664,8410640000.0,-42169.87575318511,-334171.8757534027
