i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp, second_moment,RTEC
1,21720.0,43.40549452131652,8410640000.0,-42400.492706323195,-334402.4927062988,4.726165950751449,2.751054161769941e+30
1,21720.25,41.14197970769939,8410640000.0,-42396.38176567266,-334398.3817653656,5.229971548650037,2.9933518841339015e+30
1,21720.5,41.37362748694106,8410640000.0,-42392.42395650173,-334394.42395687103,4.460454567286586,2.621546718350129e+30
1,21720.75,42.40678794289571,8410640000.0,-42388.441756912915,-334390.44175720215,5.206675145618629,2.98223642177568e+30
2,21721.0,44.53065958620522,8410640000.0,-42384.24857704368,-334386.2485771179,5.394185703968071,3.071472134508212e+30
2,21721.25,42.558415757955906,8410640000.0,-42380.096003668354,-334382.0960035324,4.665756547026132,2.7217196991987326e+30
2,21721.5,44.877230493329066,8410640000.0,-42376.16228660871,-334378.1622867584,3.9077950358091185,2.3479282193619616e+30
2,21721.75,44.61602888878361,8410640000.0,-42372.06181174929,-334374.06181144714,4.970883348827043,2.869258286809608e+30
3,21722.0,42.722113206224755,8410640000.0,-42368.086492026814,-334370.0864915848,3.988489415684552,2.3882623823541033e+30
3,21722.25,43.43547354690655,8410640000.0,-42364.01585364316,-334366.01585388184,4.143991832722645,2.4656082650174463e+30
3,21722.5,43.79170287682508,8410640000.0,-42359.994752137645,-334361.99475193024,3.853677186502441,2.3208003334635317e+30
3,21722.75,43.034499415564596,8410640000.0,-42356.00421257767,-334358.00421237946,4.037072095406288,2.4124801903571882e+30
4,21723.0,43.885856652897054,8410640000.0,-42351.95195329503,-334353.95195293427,3.9931436712478647,2.3905845863043213e+30
4,21723.25,43.03446858505472,8410640000.0,-42347.96006290595,-334349.96006298065,3.9598730708314025,2.3739745343824246e+30
4,21723.5,42.75288794792891,8410640000.0,-42343.78958864226,-334345.7895889282,4.802042187623202,2.787810893761006e+30
4,21723.75,43.80435060838482,8410640000.0,-42339.81166214725,-334341.8116617203,4.402706861817473,2.593232626160593e+30
5,21724.0,42.77721036151809,8410640000.0,-42335.80423327708,-334337.804233551,5.9370060722953575,3.3269625514939336e+30
5,21724.25,41.49472530538994,8410640000.0,-42331.81939105012,-334333.8193912506,3.921294552274864,2.3546853938300094e+30
5,21724.5,42.68565921655632,8410640000.0,-42327.75904616142,-334329.75904655457,3.8743635718001848,2.3311773353986798e+30
5,21724.75,43.02329908587699,8410640000.0,-42323.700885351216,-334325.7008857727,4.769746426896766,2.772177776554421e+30
6,21725.0,42.31985755402258,8410640000.0,-42319.58377271511,-334321.5837726593,4.795652911060544,2.784719488393501e+30
6,21725.25,38.2862602759075,8410640000.0,-42315.746948140535,-334317.7469482422,4.729827337367719,2.752830094402185e+30
6,21725.5,35.47911018435541,8410640000.0,-42311.72911018233,-334313.7291097641,4.8306881984613685,2.8016626486183316e+30
6,21725.75,30.828512951775902,8410640000.0,-42307.543025687046,-334309.54302597046,5.6849028635675625,3.208811522847487e+30
7,21726.0,30.700782465862122,8410640000.0,-42303.44845232461,-334305.44845199585,4.968818417156805,2.868264997987458e+30
7,21726.25,30.11748247542736,8410640000.0,-42299.38439606206,-334301.38439559937,5.056573980972363,2.9104175879545123e+30
7,21726.5,31.863889503032503,8410640000.0,-42295.35428520735,-334297.3542852402,5.376137808397257,3.062905953660767e+30
